fips5,age65_pct,median_age,no_vehicle_workers,total_workers,bachelors_pct,unemp_rate,year,poverty_pct,disability_pct,limited_english_pct,no_vehicle_pct
06001,35.3,50.9,4.2,695938,40.5,8.5,2010,,,,0.0006035020361009171
06003,44.3,56.2,3.6,503,27.8,13.9,2010,,,,0.7157057654075547
06005,45.7,58.1,1.4,13802,18.6,11.4,2010,,,,0.010143457469931894
06007,34.9,57.4,2.9,87034,24.4,11.5,2010,,,,0.0033320311602362293
06009,47.6,66.9,0.8,18711,19.1,7.6,2010,,,,0.0042755598311153865
06011,32.6,70.2,4.1,8383,13.3,14.2,2010,,,,0.04890850530836216
06013,36.8,59.4,2.2,468171,39.8,8.2,2010,,,,0.000469913770823054
06015,36.9,56.6,3.3,9089,12.2,10.1,2010,,,,0.036307624601166245
06017,41.6,59.2,1.6,81721,32.8,8.2,2010,,,,0.0019578810831977094
06019,29.5,66.8,3.5,351673,19.7,11.4,2010,,,,0.0009952427397042138
06021,34.2,70.4,2.1,11271,14.9,8.3,2010,,,,0.01863188714399787
06023,35.8,49.9,2.7,58829,26.0,8.6,2010,,,,0.004589573169695218
06025,30.5,66.3,2.7,55565,11.9,14.7,2010,,,,0.0048591739404301275
06027,44.3,68.0,4.0,8442,21.4,6.8,2010,,,,0.04738213693437574
06029,30.0,65.2,3.1,304506,14.3,11.4,2010,,,,0.0010180423374252067
06031,31.5,54.8,2.9,56356,10.5,12.0,2010,,,,0.005145858471147704
06033,43.1,63.9,2.2,23156,17.1,11.8,2010,,,,0.009500777336327518
06035,35.6,37.8,3.0,10175,10.2,9.2,2010,,,,0.029484029484029485
06037,33.1,55.6,4.8,4399339,29.9,8.7,2010,,,,0.00010910729998302018
06039,31.5,66.4,3.6,46267,14.4,12.0,2010,,,,0.007780923768560746
06041,42.4,57.6,2.3,121354,53.1,5.6,2010,,,,0.0018952815729188985
06043,48.4,63.3,0.0,7187,17.8,12.9,2010,,,,0.0
06045,39.4,59.5,2.9,37577,22.2,9.0,2010,,,,0.007717486760518402
06047,28.4,70.0,3.4,91438,12.3,13.8,2010,,,,0.003718366543450206
06049,42.9,69.6,3.7,3489,13.5,11.4,2010,,,,0.1060475781026082
06051,34.8,42.2,4.9,8135,28.3,6.5,2010,,,,0.06023355869698833
06053,31.9,59.5,3.1,176845,22.7,10.2,2010,,,,0.0017529474963951484
06055,38.0,61.9,1.6,62559,30.0,7.4,2010,,,,0.0025575856391566363
06057,45.4,62.9,2.0,43615,34.1,8.1,2010,,,,0.004585578356070159
06059,34.6,56.7,2.2,1411500,38.4,7.4,2010,,,,0.0001558625575628764
06061,38.6,65.6,1.3,153221,37.5,6.9,2010,,,,0.0008484476670952415
06063,46.6,61.1,2.1,8744,18.9,9.9,2010,,,,0.02401646843549863
06065,32.4,68.3,1.7,841821,21.8,11.2,2010,,,,0.00020194316844079677
06067,33.3,58.6,2.7,607964,28.4,10.2,2010,,,,0.0004441052430736031
06069,32.5,64.2,1.6,23907,17.4,10.3,2010,,,,0.006692600493579287
