fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,population,medi_cal_enrollment,medi_cal_share,pcp_supply,pcp_per_100k,shortage_flag,shortage_score,age65_pct,hispanic_pct,bachelors_pct,poverty_pct,unemp_pct,high_medi_cal_q,low_pcp_q,high_medi_cal_thr,low_pcp_thr,desert_q_def1,desert_thr_def1,desert_q_def2,desert_thr_def2
06001,2020,191.27857142857144,24615.0,1248021.357142857,1682353.0,410823.6666666667,0.24419587724256842,2311,138.96862151465976,1,7,14.9,2.1,51.5,9.2,5.2,False,False,False,False,0,0,0,0
06005,2020,183.96428571428572,865.0,33660.230769230766,40474.0,5462.833333333333,0.1349714219828367,39,97.42449601558792,1,7,27.2,5.0,22.4,7.8,6.1,False,False,False,False,0,0,0,0
06007,2020,347.5,8423.0,155719.57142857142,211632.0,72038.58333333333,0.3403955135959275,140,67.28127578114363,1,9,18.2,4.3,31.7,18.3,7.1,False,False,True,False,0,0,0,1
06009,2020,200.70714285714286,1125.0,36944.153846153844,45292.0,11344.916666666666,0.25048389708263413,16,35.55687247675839,1,5,28.7,3.8,22.2,13.4,5.9,False,True,False,True,0,0,0,0
06011,2020,394.59999999999997,658.0,14832.07142857143,21839.0,7114.75,0.3257818581436879,6,27.372470897741014,1,8,15.3,3.2,14.5,10.8,8.4,False,True,True,True,0,1,0,1
06013,2020,221.0142857142857,19364.0,841770.4285714285,1165927.0,266229.1666666667,0.228341196890257,1553,134.05244215553682,1,7,16.7,2.6,44.9,8.3,5.9,False,False,False,False,0,0,0,0
06015,2020,120.96428571428571,507.0,20287.428571428572,27743.0,8419.083333333334,0.3034669406096433,20,74.2353756310007,1,5,19.8,10.3,21.0,11.6,6.4,False,False,True,False,0,0,0,1
06017,2020,206.44285714285715,3787.0,150144.61538461538,191185.0,35439.166666666664,0.18536583239619564,134,70.37753521065117,1,7,22.8,2.5,38.8,8.3,4.8,False,False,False,False,0,0,0,0
06019,2020,279.2642857142857,26403.0,674049.0714285715,1008654.0,476838.0833333333,0.47274693138909213,1113,109.28736390630155,1,10,12.7,3.1,23.9,18.7,8.5,True,False,True,False,0,0,1,1
06021,2020,325.40000000000003,920.0,20557.923076923078,28917.0,9130.0,0.3157312307639105,9,31.151929112054642,1,8,16.8,3.8,16.5,12.4,7.4,False,True,True,True,0,1,0,1
06023,2020,166.42857142857142,2658.0,107063.61538461539,136463.0,49825.083333333336,0.36511789520480525,141,104.56424150137441,1,5,19.3,8.6,32.1,18.9,8.7,False,False,True,False,0,0,0,1
06025,2020,149.80714285714288,3227.0,124035.61538461539,179702.0,92091.5,0.512467863462844,54,29.621367611228692,1,7,13.5,2.7,16.1,19.6,12.6,True,True,True,True,1,1,1,1
06027,2020,188.30714285714288,409.0,14053.0,19016.0,3537.4166666666665,0.1860231734679568,16,84.60609692685978,1,7,24.4,15.1,31.8,10.5,2.7,False,False,False,False,0,0,0,0
06029,2020,216.40714285714284,21287.0,598298.0714285715,909235.0,420486.1666666667,0.46246148318824803,595,65.17824149469591,1,10,11.6,2.9,18.6,19.0,8.4,True,True,True,True,1,1,1,1
06031,2020,244.5,3061.0,107494.15384615384,152486.0,57347.25,0.37608206655037185,78,51.122454664323186,1,5,10.6,3.1,13.9,16.8,9.8,False,True,True,True,0,1,0,1
06033,2020,200.42857142857142,1853.0,52287.692307692305,68163.0,26756.0,0.3925296715226736,32,47.375706625936715,1,8,23.6,6.6,17.7,16.7,11.5,True,True,True,True,1,1,1,1
06035,2020,134.9,439.0,25872.846153846152,32730.0,6943.0,0.21212954476015888,13,43.639781577298365,1,7,16.0,5.1,13.2,13.7,7.6,False,True,False,True,0,0,0,0
06037,2020,212.62857142857143,187755.0,7321511.785714285,10014009.0,3819645.0,0.38143015449656575,11727,118.43398100875211,1,10,14.7,2.7,35.5,13.6,7.0,True,False,True,False,0,0,1,1
06039,2020,210.92142857142858,3134.0,109944.23076923077,156255.0,70543.58333333333,0.4514644864697663,156,98.23203329814054,1,7,14.4,5.0,17.1,19.9,10.6,True,False,True,False,0,0,1,1
06041,2020,117.45,2553.0,194991.64285714287,262321.0,45372.166666666664,0.172964294382328,407,158.2529701594,0,2,23.3,1.9,60.5,7.8,6.1,False,False,False,False,0,0,0,0
06043,2020,249.93571428571428,556.0,13943.538461538461,17131.0,2855.4166666666665,0.1666812600937871,8,47.04959811801608,1,6,29.4,6.2,30.9,13.9,6.9,False,True,False,True,0,0,0,0
06045,2020,176.60714285714286,2087.0,70286.23076923077,91601.0,35627.166666666664,0.38893862148520936,80,88.50503925567263,1,9,24.1,6.8,24.9,15.2,9.3,True,False,True,False,0,0,1,1
06047,2020,286.0642857142857,7202.0,185393.92857142858,281202.0,133548.0,0.47491838607122283,132,46.056794074956265,1,7,11.6,3.0,14.8,18.4,10.8,True,True,True,True,1,1,1,1
06049,2020,157.04285714285714,261.0,6498.142857142857,8700.0,2075.8333333333335,0.23860153256704983,10,116.71789285297436,1,8,31.0,6.3,23.0,20.3,6.0,False,False,False,False,0,0,0,0
06051,2020,121.09285714285714,123.0,10909.333333333334,13195.0,1815.0833333333333,0.13755841859290135,13,99.69579999488741,1,5,16.4,6.8,34.3,11.0,2.0,False,False,False,False,0,0,0,0
06053,2020,225.87857142857143,7992.0,301717.0,439035.0,172234.91666666666,0.3923033850756014,404,92.32653732825894,1,9,14.5,2.5,27.9,12.6,5.1,True,False,True,False,0,0,1,1
06055,2020,158.32857142857142,1868.0,107173.15384615384,138019.0,27773.083333333332,0.20122652195229157,154,113.00305621902048,1,6,20.6,2.5,38.5,8.4,5.1,False,False,False,False,0,0,0,0
06057,2020,168.72142857142856,1961.0,83284.53846153847,102241.0,24016.833333333332,0.23490413174101712,109,107.6289860987455,0,2,28.9,2.6,39.5,10.6,4.7,False,False,False,False,0,0,0,0
06059,2020,167.41428571428574,42529.0,2321912.3571428573,3186989.0,854446.6666666666,0.26810468020651046,4280,134.99394813929925,1,8,15.8,2.0,43.4,9.5,5.3,False,False,False,False,0,0,0,0
06061,2020,185.15714285714284,5484.0,293962.5,404739.0,59870.0,0.14792248831963314,701,169.99805185304342,1,7,20.2,2.4,42.9,6.7,4.5,False,False,False,False,0,0,0,0
06063,2020,167.06428571428572,413.0,15948.692307692309,19790.0,2987.0833333333335,0.15093902644433216,16,83.14639828856997,1,6,29.8,4.9,20.5,10.7,9.7,False,False,False,False,0,0,0,0
06065,2020,234.34285714285716,47700.0,1696399.7142857143,2418185.0,856624.0833333334,0.3542425758712974,1956,79.6680173436785,1,10,15.1,3.1,25.1,11.1,6.6,False,False,True,False,0,0,0,1
06067,2020,211.9,32710.0,1131990.7857142857,1585055.0,544086.8333333334,0.3432605388035957,2132,134.24859981921776,1,8,14.9,3.1,33.3,12.6,6.4,False,False,True,False,0,0,0,1
06069,2020,218.75714285714284,917.0,46613.0,64209.0,10642.666666666666,0.16575038805567235,21,32.03026097036438,0,4,13.5,4.5,22.4,7.8,6.0,False,True,False,True,0,0,0,0
06071,2020,233.47857142857146,45912.0,1501387.642857143,2181654.0,860833.9166666666,0.39457857050965306,2103,96.06542864229812,1,10,12.3,3.0,22.9,13.6,7.1,True,False,True,False,0,0,1,1
06073,2020,204.03571428571428,53331.0,2410768.285714286,3298634.0,848916.25,0.25735387739288446,4483,135.7236259673235,1,8,15.0,2.5,42.1,10.4,6.2,False,False,False,False,0,0,0,0
06075,2020,189.57142857142858,14383.0,699410.2142857143,873965.0,209027.5,0.23917147711864892,2389,280.6551203993628,1,8,17.2,1.8,60.1,10.6,5.6,False,False,False,False,0,0,0,0
06077,2020,227.95000000000002,16720.0,531616.4285714285,779233.0,285013.3333333333,0.36576137475355036,649,82.14111987836195,1,7,13.3,6.1,21.6,12.6,7.4,False,False,True,False,0,0,0,1
06079,2020,149.60714285714286,4280.0,225631.6923076923,282424.0,55731.666666666664,0.19733332389126512,251,89.603069113358,1,5,21.6,2.6,39.2,12.8,5.1,False,False,False,False,0,0,0,0
06081,2020,164.84285714285716,8510.0,592843.0769230769,764442.0,140027.75,0.18317642149437105,963,128.05206830241474,1,8,17.3,2.2,53.1,6.5,4.5,False,False,False,False,0,0,0,0
06083,2020,156.7642857142857,5725.0,324359.28571428574,448229.0,148561.33333333334,0.3314406995828769,462,103.91736994583701,1,8,16.2,3.6,35.9,13.8,6.1,False,False,True,False,0,0,0,1
06085,2020,216.79285714285714,25609.0,1412090.642857143,1936259.0,393855.8333333333,0.20341071795319393,3242,169.09621498134047,1,6,14.4,1.9,55.9,6.9,4.5,False,False,False,False,0,0,0,0
06087,2020,140.82142857142858,3470.0,212978.15384615384,270861.0,74121.58333333333,0.2736517377301765,341,128.43497649752922,1,7,18.3,3.0,43.6,11.2,5.6,False,False,False,False,0,0,0,0
06089,2020,226.53571428571428,5130.0,138986.38461538462,182155.0,60972.75,0.3347300376053361,182,100.65842779278744,1,10,21.2,5.1,23.3,13.0,6.2,False,False,True,False,0,0,0,1
06093,2020,153.27142857142854,925.0,34305.61538461538,44076.0,15454.583333333334,0.35063488822337174,33,75.60801444953165,1,10,27.2,7.6,23.1,16.6,7.7,False,False,True,False,0,0,0,1
06095,2020,223.72142857142856,8163.0,342838.76923076925,453491.0,117537.33333333333,0.25918338695439014,501,111.37887491774416,1,7,16.9,2.8,28.4,9.7,5.9,False,False,False,False,0,0,0,0
06097,2020,177.82857142857142,7277.0,365845.0714285714,488863.0,114064.33333333333,0.23332576475072428,649,134.25229847588818,1,6,21.0,3.7,37.8,8.6,5.2,False,False,False,False,0,0,0,0
06099,2020,306.85,13757.0,375673.0714285714,552878.0,236740.83333333334,0.428197239415085,475,86.05919544013089,1,8,13.6,3.3,19.1,13.1,7.8,True,False,True,False,0,0,1,1
06101,2020,318.92857142857144,2725.0,71883.15384615384,99633.0,39168.916666666664,0.3931319609634023,75,75.42691634652131,1,9,16.1,4.3,20.2,14.8,7.0,True,False,True,False,0,0,1,1
06103,2020,246.92142857142855,1678.0,48777.692307692305,65829.0,25299.083333333332,0.3843151701124631,37,56.77226649208768,1,9,20.0,5.0,18.8,15.4,6.7,True,True,True,True,1,1,1,1
