county,year,total_op_revenue,total_op_expense,total_net_patient_rev,total_discharges,total_patient_days,total_ed_visits,total_medi_cal_rev,n_hospitals,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,ed_per_patient_day,medi_cal_rev_share
ALAMEDA,2012,0.0,0.0,0.0,22252.0,0.0,0.0,0.0,18,,0.0,,0.0,,
ALAMEDA,2013,0.0,0.0,0.0,28051.0,0.0,0.0,0.0,18,,0.0,,0.0,,
ALAMEDA,2014,3262566301.0,3439163214.0,3066401717.0,60351.0,680401.0,518024.0,947915627.0,20,-0.054128221990729135,56986.01869065964,5054.612227201312,8.583519742837733,0.7613510268209482,0.3091296296061916
ALAMEDA,2015,3356875764.0,3495520954.0,3202352191.0,36018.0,754414.0,595319.0,951735798.0,19,-0.04130185319542257,97049.2796379588,4633.425352657824,16.52837470153812,0.789114465001975,0.2971989778871889
ALAMEDA,2016,3759740813.0,3994962842.0,3569857164.0,45106.0,776457.0,585744.0,1112106060.0,19,-0.06256336292828385,88568.32443577351,5145.117942139745,12.985944220281116,0.7543804743855744,0.3115267667331241
ALAMEDA,2017,3978065724.0,4173373392.0,3798443788.0,24210.0,768174.0,586251.0,1369726413.0,19,-0.04909613906620312,172382.2136307311,5432.84905763538,24.215241635687732,0.763174749470823,0.3606019963563036
ALAMEDA,2018,4008445015.0,4198823846.0,3849570436.0,25570.0,766069.0,576661.0,1371839795.0,18,-0.04749443494611588,164208.98889323426,5480.999552259653,22.552248728979272,0.7527533420618769,0.3563617857647117
ALAMEDA,2019,4319393255.0,4383255190.0,3938337766.0,27603.0,791746.0,587699.0,1369801245.0,18,-0.014784931871177819,158796.33336956127,5536.188613519993,21.29112777596638,0.7422822470842921,0.3478120279133011
ALAMEDA,2020,4067071451.0,4386487658.0,3563362435.0,24839.0,748685.0,453152.0,1141029804.0,17,-0.07853715157167028,176596.78964531585,5858.922855406479,18.24356858166593,0.6052638960310411,0.3202115487306584
ALAMEDA,2021,6890133951.0,6670912318.0,6446081178.0,23710.0,748128.0,453103.0,2192509416.0,17,0.03181674471919131,281354.37865879375,8916.806105372343,19.110206663854914,0.6056490333205014,0.3401305933724312
ALAMEDA,2022,6673561684.0,6853625081.0,6322277839.0,20548.0,761643.0,518961.0,1637342854.0,17,-0.026981603756163017,333542.1978294725,8998.474457193199,25.256034650574264,0.6813704058200496,0.2589798954895313
ALAMEDA,2023,6912580370.0,7516365429.0,6526672747.0,25908.0,790804.0,560360.0,1633972492.0,17,-0.08734582842904436,290117.54782306624,9504.713467559597,21.628840512582986,0.7085953030080778,0.25035305971960353
AMADOR,2012,0.0,0.0,0.0,536.0,0.0,0.0,0.0,1,,0.0,,0.0,,
AMADOR,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,
AMADOR,2014,73070146.0,64852833.0,72310090.0,543.0,8435.0,18889.0,14828312.0,1,0.11245787027714438,119434.31491712708,7688.539774748074,34.78637200736648,2.239359810314167,0.20506560011196223
AMADOR,2015,81041780.0,70977516.0,80360007.0,548.0,9637.0,20579.0,16218668.0,1,0.12418611733355314,129521.01459854015,7365.104908166441,37.552919708029194,2.1354155857632042,0.2018251193034366
AMADOR,2016,82839217.0,76260509.0,81651653.0,961.0,8704.0,22194.0,17905452.0,1,0.07941538124388597,79355.36836628513,8761.54744944853,23.094693028095733,2.549862132352941,0.21929074724304723
AMADOR,2017,82216752.0,82563287.0,80922963.0,622.0,8725.0,24332.0,17057433.0,1,-0.0042148952807087295,132738.40353697748,9462.840916905445,39.11897106109325,2.7887679083094556,0.21078606575490816
