county,year,total_op_exp,patient_days,medi_cal_revenue,gross_revenue,discharges,cost_per_patient_day,medi_cal_revenue_pct
ALAMEDA,2012,0.0,0.0,0.0,0.0,0.0,,
ALAMEDA,2013,0.0,0.0,0.0,0.0,0.0,,
ALAMEDA,2014,3270239291.0,538578.0,885509743.0,0.0,0.0,6071.988256111464,
ALAMEDA,2015,3393481650.0,630622.0,864225355.0,0.0,0.0,5381.165975814355,
ALAMEDA,2016,2920386006.0,645950.0,1014449293.0,0.0,0.0,4521.071299636194,
ALAMEDA,2017,3648048744.0,633553.0,1276746368.0,0.0,0.0,5758.079819683594,
ALAMEDA,2018,3830446239.0,630173.0,1278431248.0,0.0,0.0,6078.404246135585,
ALAMEDA,2019,3973583569.0,653622.0,1283217853.0,0.0,0.0,6079.329595699043,
ALAMEDA,2020,3931049496.0,619559.0,1068730663.0,0.0,0.0,6344.9154898887755,
ALAMEDA,2021,4048600197.0,619127.0,2096789856.0,0.0,0.0,6539.207944412051,
ALAMEDA,2022,6328126061.0,624460.0,1524213215.0,0.0,0.0,10133.757263875988,
ALAMEDA,2023,6479510585.0,645154.0,1520642076.0,0.0,0.0,10043.354896660332,
AMADOR,2012,0.0,0.0,0.0,0.0,0.0,,
AMADOR,2013,0.0,0.0,0.0,0.0,0.0,,
AMADOR,2014,61212596.0,8435.0,14828312.0,0.0,0.0,7256.976407824541,
AMADOR,2015,64852833.0,9637.0,16218668.0,0.0,0.0,6729.566566358825,
AMADOR,2016,70977516.0,8704.0,17905452.0,0.0,0.0,8154.5859375,
AMADOR,2017,76260509.0,8725.0,17057433.0,0.0,0.0,8740.459484240688,
AMADOR,2018,82563287.0,8873.0,15404614.0,0.0,0.0,9305.002479431985,
AMADOR,2019,85892606.0,8331.0,15354245.0,0.0,0.0,10309.999519865562,
AMADOR,2020,87237831.0,8615.0,19036647.0,0.0,0.0,10126.271735345328,
AMADOR,2021,92678301.0,9736.0,17623183.0,0.0,0.0,9519.135271158586,
AMADOR,2022,94914336.0,9748.0,21996722.0,0.0,0.0,9736.800984817399,
AMADOR,2023,97801211.0,9478.0,20416932.0,0.0,0.0,10318.760392487866,
BUTTE,2012,0.0,0.0,0.0,0.0,0.0,,
BUTTE,2013,0.0,0.0,0.0,0.0,0.0,,
BUTTE,2014,821593817.0,164045.0,218739617.0,0.0,0.0,5008.34415556707,
BUTTE,2015,854908400.0,145576.0,287197479.0,0.0,0.0,5872.591635983953,
BUTTE,2016,947285978.0,173535.0,291785516.0,0.0,0.0,5458.760353819114,
BUTTE,2017,1011707523.0,184684.0,314643379.0,0.0,0.0,5478.046409001321,
BUTTE,2018,1254955115.0,184289.0,342991692.0,0.0,0.0,6809.712543884876,
BUTTE,2019,939795576.0,192012.0,256055804.0,0.0,0.0,4894.462721079933,
BUTTE,2020,710297630.0,139279.0,130941752.0,0.0,0.0,5099.818565612906,
BUTTE,2021,1067050737.0,210854.0,292591525.0,0.0,0.0,5060.614154818026,
BUTTE,2022,1160076839.0,211536.0,272922707.0,0.0,0.0,5484.063417101581,
