county,year,oshpd_id,facility_name,city,discharges,patient_days,ed_visits,net_patient_rev,op_revenue,op_expense,medi_cal_trad,medi_cal_mc,medi_cal_total_rev,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,medi_cal_rev_share
ALAMEDA,2012,106010735,ALAMEDA HOSPITAL DISTRICT,ALAMEDA,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010739,ALTA BATES MEDICAL CENTER,BERKELEY,604.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010776,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,OAKLAND,3227.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010782,"ADOLESCENT TREATMENT CENTERS, INC.",OAKLAND,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010805,EDEN MEDICAL CENTER,CASTRO VALLEY,382.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010846,ALAMEDA COUNTY MEDICAL CENTER,OAKLAND,1022.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010856,KAISER FOUNDATION HOSPITALS - OAKLAND,OAKLAND,3253.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010858,KAISER FOUNDATION HOSPITALS - HAYWARD,HAYWARD,2408.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,SAN LEANDRO,480.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010967,HAYWARD SISTERS HOSPITAL,HAYWARD,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106010987,WASHINGTON TOWNSHIP HEALTH CARE DISTRICT,FREMONT,6864.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106013619,SAN LEANDRO HOSPITAL,SAN LEANDRO,59.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106013687,MERRITT PERALTA INSTITUE CHEMICAL DEPENDENCY RECOVERY HOSPIT,OAKLAND,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106014034,BHC FREMONT HOSPITAL,FREMONT,3953.0,,,,,,,,0.0,,,,,
ALAMEDA,2012,106014050,THE HOSPITAL COMMITTEE OF LIVERMORE,PLEASANTON,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,OAKLAND,,,,,,,,,0.0,,,,,
ALAMEDA,2012,106014226,TELECARE WILLOW ROCK CENTER,SAN LEANDRO,,,,,,,,,0.0,,,,,
LOS ANGELES,2012,106015000,KAISER FOUNDATION HOSPITALS - NO. CA. REGION,PASADENA,,,,,,,,,0.0,,,,,
AMADOR,2012,106034002,SUTTER AMADOR HOSPITAL,JACKSON,536.0,,,,,,,,0.0,,,,,
BUTTE,2012,106040802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,GRIDLEY,836.0,,,,,,,,0.0,,,,,
BUTTE,2012,106040875,ADVENTIST HEALTH / FEATHER RIVER HOSPITAL,PARADISE,1250.0,,,,,,,,0.0,,,,,
BUTTE,2012,106040937,OROVILLE HOSPITAL,OROVILLE,1152.0,,,,,,,,0.0,,,,,
BUTTE,2012,106040962,ENLOE MEDICAL CENTER,CHICO,16758.0,,,,,,,,0.0,,,,,
BUTTE,2012,106044006,BUTTE COUNTY MENTAL HEALTH PSYCHIATRIC FACILITY,CHICO,,,,,,,,,0.0,,,,,
CALAVERAS,2012,106050932,MARK TWAIN ST. JOSEPH'S HEALTHCARE CORPORATION,SAN ANDREAS,,,,,,,,,0.0,,,,,
COLUSA,2012,106060870,COLUSA REGIONAL MEDICAL CENTER,COLUSA,2.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106070904,DOCTOR'S MEDICAL CENTER - SAN PABLO,SAN PABLO,1068.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,MARTINEZ,486.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106070934,SUTTER DELTA MEDICAL CENTER,ANTIOCH,,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,WALNUT CREEK,2104.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106070990,KAISER FOUNDATION HOSPITALS - WALNUT CREEK,WALNUT CREEK,2517.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106071018,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,20.0,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106074017,SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON,,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106074039,JOHN MUIR/MT. DIABLO HEALTH SYSTEM,CONCORD,,,,,,,,,0.0,,,,,
CONTRA COSTA,2012,106074097,KAISER FOUNDATION HOSPITALS - ANTIOCH,ANTIOCH,1022.0,,,,,,,,0.0,,,,,
DEL NORTE,2012,106084001,SUTTER COAST HOSPITAL,CRESCENT CITY,509.0,,,,,,,,0.0,,,,,
EL DORADO,2012,106090793,BARTON HEALTHCARE SYSTEM,SOUTH LAKE TAHOE,149.0,,,,,,,,0.0,,,,,
EL DORADO,2012,106090933,MARSHALL MEDICAL CENTER,PLACERVILLE,357.0,,,,,,,,0.0,,,,,
EL DORADO,2012,106094002,EL DORADO COUNTY PSYCHIATRIC HEALTH FACILITY,PLACERVILLE,316.0,,,,,,,,0.0,,,,,
FRESNO,2012,106100005,COMMUNITY MEDICAL CENTERS,CLOVIS,2095.0,,,,,,,,0.0,,,,,
FRESNO,2012,106100717,COMMUNITY REGIONAL MEDICAL CENTER,FRESNO,6367.0,,,,,,,,0.0,,,,,
FRESNO,2012,106100797,ADVENTIST MEDICAL CENTER REEDLEY,REEDLEY,,,,,,,,,0.0,,,,,
FRESNO,2012,106100899,SAINT AGNES MEDICAL CENTER,FRESNO,32351.0,,,,,,,,0.0,,,,,
FRESNO,2012,106104023,SAN JOAQUIN VALLEY REHABILITATION,FRESNO,,,,,,,,,0.0,,,,,
FRESNO,2012,106104047,FRESNO SURGERY CENTER LP,FRESNO,2000.0,,,,,,,,0.0,,,,,
FRESNO,2012,106104062,KAISER FOUNDATION HOSPITALS - FRESNO,FRESNO,819.0,,,,,,,,0.0,,,,,
FRESNO,2012,106104089,"CRESTWOOD BEHAVIORAL HEALTH, INC.",FRESNO,580.0,,,,,,,,0.0,,,,,
FRESNO,2012,106105029,"FRESNO HEART HOSPITAL, LLC",FRESNO,3153.0,,,,,,,,0.0,,,,,
GLENN,2012,106110889,GLENN MEDICAL CENTER,WILLOWS,,,,,,,,,0.0,,,,,
HUMBOLDT,2012,106121002,AMERICAN HOSPITAL MANAGEMENT CORPORATION,ARCATA,,,,,,,,,0.0,,,,,
HUMBOLDT,2012,106121051,REDWOOD MEMORIAL HOSPITAL,FORTUNA,,,,,,,,,0.0,,,,,
HUMBOLDT,2012,106121080,ST. JOSEPH HOSPITAL EUREKA,EUREKA,,,,,,,,,0.0,,,,,
HUMBOLDT,2012,106124004,SEMPERVIRENS PSYCHIATRIC HEALTH FACILITY,EUREKA,,,,,,,,,0.0,,,,,
IMPERIAL,2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,2321.0,,,,,,,,0.0,,,,,
IMPERIAL,2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,317.0,,,,,,,,0.0,,,,,
INYO,2012,106141273,NORTHERN INYO LOCAL HOSPITAL DISTRICT,BISHOP,272.0,,,,,,,,0.0,,,,,
