fips5,year,medi_cal_enrollment,population,medi_cal_share
06001,2019,407315.14285714284,,
06001,2020,410823.6666666667,1682353.0,0.24419587724256842
06001,2021,449321.75,1669095.0,0.2692008243988509
06001,2022,466199.1666666667,1648467.0,0.2828077035613492
06003,2019,185.14285714285714,,
06003,2020,195.58333333333334,1204.0,0.16244462901439646
06003,2021,223.33333333333334,1195.0,0.18688981868898188
06003,2022,242.5,1191.0,0.20361041141897565
06005,2019,4815.285714285715,,
06005,2020,5462.833333333333,40474.0,0.1349714219828367
06005,2021,6017.0,40112.0,0.15000498603909054
06005,2022,6392.333333333333,40148.0,0.15921922221115206
06007,2019,71925.42857142857,,
06007,2020,72038.58333333333,211632.0,0.3403955135959275
06007,2021,76440.25,207814.0,0.3678301269404371
06007,2022,78786.5,206762.0,0.38104922567976707
06009,2019,11320.285714285714,,
06009,2020,11344.916666666666,45292.0,0.25048389708263413
06009,2021,12075.666666666666,45250.0,0.266865561694291
06009,2022,13023.666666666666,45012.0,0.28933765810598655
06011,2019,7047.714285714285,,
06011,2020,7114.75,21839.0,0.3257818581436879
06011,2021,7210.833333333333,21841.0,0.33015124460113243
06011,2022,7681.5,21923.0,0.3503854399489121
06013,2019,258442.0,,
06013,2020,266229.1666666667,1165927.0,0.228341196890257
06013,2021,294781.75,1164050.0,0.25323804819380613
06013,2022,309743.5,1154254.0,0.2683495140584308
06015,2019,9049.142857142857,,
06015,2020,8419.083333333334,27743.0,0.3034669406096433
06015,2021,8917.333333333334,27460.0,0.32473901432386504
06015,2022,9448.166666666666,26926.0,0.35089380771992373
06017,2019,34742.857142857145,,
06017,2020,35439.166666666664,191185.0,0.18536583239619564
06017,2021,38684.333333333336,191211.0,0.20231227980259156
06017,2022,39576.166666666664,190549.0,0.2076954834014698
06019,2019,470950.71428571426,,
06019,2020,476838.0833333333,1008654.0,0.47274693138909213
06019,2021,512143.9166666667,1008686.0,0.5077337413889622
06019,2022,528098.3333333334,1012350.0,0.5216558831761084
06021,2019,8657.142857142857,,
