fips5,year,pqi_mean_rate,ed_admissions,ed_visits,ed_total,ed_admit_rate,medi_cal_share,population,mc_ge_30
06001,2020,191.27857142857144,68314.0,433225.0,501539.0,0.136208749469134,0.2441958772425684,1682353.0,0.0
06001,2021,196.52857142857144,71220.0,458875.0,530095.0,0.13435327629953123,0.2692008243988509,1669095.0,0.0
06001,2022,211.12857142857143,74506.0,525950.0,600456.0,0.12408236406997349,0.2828077035613492,1648467.0,0.0
06005,2020,183.96428571428572,1775.0,19628.0,21403.0,0.08293229921039107,0.1349714219828367,40474.0,0.0
06005,2021,179.72857142857143,1731.0,22161.0,23892.0,0.07245102963335008,0.1500049860390905,40112.0,0.0
06005,2022,201.33571428571423,1820.0,24996.0,26816.0,0.06786992840095465,0.159219222211152,40148.0,0.0
06007,2020,347.5,24995.0,66698.0,91693.0,0.27259441833073406,0.3403955135959275,211632.0,1.0
06007,2021,363.54285714285714,25387.0,68866.0,94253.0,0.26934951672625806,0.3678301269404371,207814.0,1.0
06007,2022,345.04285714285714,23519.0,76030.0,99549.0,0.23625551236074696,0.381049225679767,206762.0,1.0
06009,2020,200.70714285714288,818.0,9347.0,10165.0,0.08047220855878012,0.2504838970826341,45292.0,0.0
06009,2021,184.1357142857143,835.0,9930.0,10765.0,0.07756618671620993,0.266865561694291,45250.0,0.0
06009,2022,204.42142857142855,727.0,10190.0,10917.0,0.0665933864614821,0.2893376581059865,45012.0,0.0
06011,2020,394.6,494.0,4397.0,4891.0,0.10100184011449602,0.3257818581436879,21839.0,1.0
06011,2021,371.12857142857143,516.0,4359.0,4875.0,0.10584615384615384,0.3301512446011324,21841.0,1.0
06011,2022,302.37857142857143,441.0,5133.0,5574.0,0.07911733046286329,0.3503854399489121,21923.0,1.0
06013,2020,221.0142857142857,41038.0,245420.0,286458.0,0.14326009397538209,0.228341196890257,1165927.0,0.0
06013,2021,233.29285714285712,44534.0,285033.0,329567.0,0.13512882054331896,0.2532380481938061,1164050.0,0.0
06013,2022,246.3142857142857,47386.0,329560.0,376946.0,0.12571031394417237,0.2683495140584308,1154254.0,0.0
06015,2020,120.96428571428572,1364.0,13317.0,14681.0,0.09290920237041074,0.3034669406096433,27743.0,1.0
06015,2021,118.27857142857144,1431.0,13440.0,14871.0,0.096227556990115,0.324739014323865,27460.0,1.0
06015,2022,135.77857142857144,1565.0,16746.0,18311.0,0.08546775162470646,0.3508938077199237,26926.0,1.0
06017,2020,206.44285714285715,4951.0,35169.0,40120.0,0.1234047856430708,0.1853658323961956,191185.0,0.0
06017,2021,196.84285714285716,4938.0,39064.0,44002.0,0.1122221717194673,0.2023122798025915,191211.0,0.0
06017,2022,214.3642857142857,4915.0,44162.0,49077.0,0.10014874584836074,0.2076954834014698,190549.0,0.0
06019,2020,279.2642857142857,54840.0,247174.0,302014.0,0.18158098631189282,0.4727469313890921,1008654.0,1.0
06019,2021,276.85714285714283,60048.0,257450.0,317498.0,0.18912875041732546,0.5077337413889622,1008686.0,1.0
06019,2022,310.15000000000003,63499.0,296483.0,359982.0,0.17639493085765398,0.5216558831761084,1012350.0,1.0
06021,2020,325.40000000000003,68.0,4539.0,4607.0,0.014760147601476014,0.3157312307639105,28917.0,1.0
06021,2021,352.89285714285717,169.0,5165.0,5334.0,0.031683539557555304,0.3349007495835647,28816.0,1.0
06021,2022,341.34285714285716,220.0,6404.0,6624.0,0.03321256038647343,0.3518267929634641,28821.0,1.0
06023,2020,166.42857142857142,6345.0,44958.0,51303.0,0.12367697795450558,0.3651178952048052,136463.0,1.0
06023,2021,170.04285714285714,6230.0,47236.0,53466.0,0.11652264990835297,0.4066754258410406,135477.0,1.0
06023,2022,170.7214285714286,6339.0,53712.0,60051.0,0.10556027376729779,0.4254269210520461,134861.0,1.0
06025,2020,149.80714285714288,6458.0,66257.0,72715.0,0.08881248710719934,0.512467863462844,179702.0,1.0
06025,2021,143.14285714285714,7347.0,67136.0,74483.0,0.09863995811124686,0.5333160660993411,180496.0,1.0
06025,2022,165.35714285714286,7387.0,76958.0,84345.0,0.08758076945877052,0.5613129519288753,180753.0,1.0
06027,2020,188.30714285714288,624.0,7594.0,8218.0,0.07593088342662448,0.1860231734679568,19016.0,0.0
06027,2021,152.81428571428572,618.0,8416.0,9034.0,0.06840823555457162,0.191778175815685,18982.0,0.0
06027,2022,119.42142857142858,563.0,9969.0,10532.0,0.053456133687808584,0.1935503761252928,18921.0,0.0
06029,2020,216.40714285714284,41233.0,272825.0,314058.0,0.13129103541384077,0.462461483188248,909235.0,1.0
06029,2021,198.43571428571428,45516.0,297047.0,342563.0,0.13286899052145154,0.5081380689723164,906122.0,1.0
06029,2022,201.52142857142857,42396.0,302646.0,345042.0,0.12287199819152451,0.529307540501685,910744.0,1.0
06031,2020,244.5,6547.0,81997.0,88544.0,0.07394063968196603,0.3760820665503718,152486.0,1.0
