Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc,count,population,obs_rate,risk_adj_rate,outcome_rate,county_upper,fips5
2005,Alameda,1,Diabetes Short-term Complications,538.0,1102068.0,48.8,47.3,,,,,,,538.0,1102068.0,48.8,47.3,47.3,ALAMEDA,06001
2006,Alameda,1,Diabetes Short-term Complications,479.0,1106823.0,43.3,42.0,,,,,,,479.0,1106823.0,43.3,42.0,42.0,ALAMEDA,06001
2007,Alameda,1,Diabetes Short-term Complications,475.0,1117973.0,42.5,41.3,,,,,,,475.0,1117973.0,42.5,41.3,41.3,ALAMEDA,06001
2008,Alameda,1,Diabetes Short-term Complications,531.0,1136417.0,46.7,45.5,,,,,,,531.0,1136417.0,46.7,45.5,45.5,ALAMEDA,06001
2009,Alameda,1,Diabetes Short-term Complications,586.0,1155287.0,50.7,49.4,,,,,,,586.0,1155287.0,50.7,49.4,49.4,ALAMEDA,06001
2010,Alameda,1,Diabetes Short-term Complications,614.0,1169910.0,52.5,51.3,,,,,,,614.0,1169910.0,52.5,51.3,51.3,ALAMEDA,06001
2011,Alameda,1,Diabetes Short-term Complications,607.0,1186810.0,51.1,50.1,,,,,,,607.0,1186810.0,51.1,50.1,50.1,ALAMEDA,06001
2012,Alameda,1,Diabetes Short-term Complications,598.0,1173980.0,50.9,50.9,,,,,,,598.0,1173980.0,50.9,50.9,50.9,ALAMEDA,06001
2013,Alameda,1,Diabetes Short-term Complications,612.0,1197759.0,51.1,51.2,,,,,,,612.0,1197759.0,51.1,51.2,51.2,ALAMEDA,06001
2014,Alameda,1,Diabetes Short-term Complications,601.0,1192027.0,50.4,50.2,,,,,,,601.0,1192027.0,50.4,50.2,50.2,ALAMEDA,06001
2015,Alameda,1,Diabetes Short-term Complications,454.0,923607.0,49.2,49.9,,,,,,,454.0,923607.0,49.2,49.9,49.9,ALAMEDA,06001
2016,Alameda,1,Diabetes Short-term Complications,,,,,716.0,1304840.0,54.9,64.5,,,716.0,1304840.0,54.9,64.5,64.5,ALAMEDA,06001
2017,Alameda,1,Diabetes Short-term Complications,,,,,618.0,1314687.0,47.0,55.3,,,618.0,1314687.0,47.0,55.3,55.3,ALAMEDA,06001
2018,Alameda,1,Diabetes Short-term Complications,,,,,651.0,1323933.0,49.2,58.0,,,651.0,1323933.0,49.2,58.0,58.0,ALAMEDA,06001
2019,Alameda,1,Diabetes Short-term Complications,,,,,637.0,1329186.0,47.9,56.7,,,637.0,1329186.0,47.9,56.7,56.7,ALAMEDA,06001
2020,Alameda,1,Diabetes Short-term Complications,,,,,634.0,1344023.0,47.2,55.7,,,634.0,1344023.0,47.2,55.7,55.7,ALAMEDA,06001
2021,Alameda,1,Diabetes Short-term Complications,,,,,657.0,1317990.0,49.8,59.2,,,657.0,1317990.0,49.8,59.2,59.2,ALAMEDA,06001
2022,Alameda,1,Diabetes Short-term Complications,,,,,654.0,1311253.0,49.9,59.3,,,654.0,1311253.0,49.9,59.3,59.3,ALAMEDA,06001
2023,Alameda,1,Diabetes Short-term Complications,,,,,745.0,1306255.0,57.0,72.0,,,745.0,1306255.0,57.0,72.0,72.0,ALAMEDA,06001
2024,Alameda,1,Diabetes Short-term Complications,,,,,787.0,1332423.0,59.1,69.1,,,787.0,1332423.0,59.1,69.1,69.1,ALAMEDA,06001
2005,Alpine,1,Diabetes Short-term Complications,0.0,979.0,0.0,0.0,,,,,,,0.0,979.0,0.0,0.0,0.0,ALPINE,06003
2006,Alpine,1,Diabetes Short-term Complications,0.0,1001.0,0.0,0.0,,,,,,,0.0,1001.0,0.0,0.0,0.0,ALPINE,06003
2007,Alpine,1,Diabetes Short-term Complications,0.0,1009.0,0.0,0.0,,,,,,,0.0,1009.0,0.0,0.0,0.0,ALPINE,06003
2008,Alpine,1,Diabetes Short-term Complications,0.0,957.0,0.0,0.0,,,,,,,0.0,957.0,0.0,0.0,0.0,ALPINE,06003
2009,Alpine,1,Diabetes Short-term Complications,0.0,947.0,0.0,0.0,,,,,,,0.0,947.0,0.0,0.0,0.0,ALPINE,06003
2010,Alpine,1,Diabetes Short-term Complications,0.0,895.0,0.0,0.0,,,,,,,0.0,895.0,0.0,0.0,0.0,ALPINE,06003
2011,Alpine,1,Diabetes Short-term Complications,0.0,888.0,0.0,0.0,,,,,,,0.0,888.0,0.0,0.0,0.0,ALPINE,06003
2012,Alpine,1,Diabetes Short-term Complications,0.0,2975.0,0.0,0.0,,,,,,,0.0,2975.0,0.0,0.0,0.0,ALPINE,06003
2013,Alpine,1,Diabetes Short-term Complications,0.0,2967.0,0.0,0.0,,,,,,,0.0,2967.0,0.0,0.0,0.0,ALPINE,06003
2014,Alpine,1,Diabetes Short-term Complications,0.0,2018.0,0.0,0.0,,,,,,,0.0,2018.0,0.0,0.0,0.0,ALPINE,06003
2015,Alpine,1,Diabetes Short-term Complications,0.0,3000.0,0.0,0.0,,,,,,,0.0,3000.0,0.0,0.0,0.0,ALPINE,06003
2016,Alpine,1,Diabetes Short-term Complications,,,,,0.0,860.0,0.0,0.0,,,0.0,860.0,0.0,0.0,0.0,ALPINE,06003
2017,Alpine,1,Diabetes Short-term Complications,,,,,0.0,909.0,0.0,0.0,,,0.0,909.0,0.0,0.0,0.0,ALPINE,06003
2018,Alpine,1,Diabetes Short-term Complications,,,,,0.0,886.0,0.0,0.0,,,0.0,886.0,0.0,0.0,0.0,ALPINE,06003
2019,Alpine,1,Diabetes Short-term Complications,,,,,0.0,909.0,0.0,0.0,,,0.0,909.0,0.0,0.0,0.0,ALPINE,06003
2020,Alpine,1,Diabetes Short-term Complications,,,,,0.0,981.0,0.0,0.0,,,0.0,981.0,0.0,0.0,0.0,ALPINE,06003
2021,Alpine,1,Diabetes Short-term Complications,,,,,1.0,1019.0,98.1,83.4,,,1.0,1019.0,98.1,83.4,83.4,ALPINE,06003
2022,Alpine,1,Diabetes Short-term Complications,,,,,0.0,998.0,0.0,0.0,,,0.0,998.0,0.0,0.0,0.0,ALPINE,06003
2023,Alpine,1,Diabetes Short-term Complications,,,,,0.0,955.0,0.0,0.0,,,0.0,955.0,0.0,0.0,0.0,ALPINE,06003
2024,Alpine,1,Diabetes Short-term Complications,,,,,0.0,928.0,0.0,0.0,,,0.0,928.0,0.0,0.0,0.0,ALPINE,06003
2005,Amador,1,Diabetes Short-term Complications,12.0,31101.0,38.6,40.3,,,,,,,12.0,31101.0,38.6,40.3,40.3,AMADOR,06005
2006,Amador,1,Diabetes Short-term Complications,9.0,31460.0,28.6,30.0,,,,,,,9.0,31460.0,28.6,30.0,30.0,AMADOR,06005
2007,Amador,1,Diabetes Short-term Complications,13.0,31883.0,40.8,42.9,,,,,,,13.0,31883.0,40.8,42.9,42.9,AMADOR,06005
2008,Amador,1,Diabetes Short-term Complications,12.0,31619.0,38.0,40.2,,,,,,,12.0,31619.0,38.0,40.2,40.2,AMADOR,06005
2009,Amador,1,Diabetes Short-term Complications,5.0,31769.0,15.7,16.7,,,,,,,5.0,31769.0,15.7,16.7,16.7,AMADOR,06005
2010,Amador,1,Diabetes Short-term Complications,10.0,31720.0,31.5,33.7,,,,,,,10.0,31720.0,31.5,33.7,33.7,AMADOR,06005
2011,Amador,1,Diabetes Short-term Complications,9.0,31760.0,28.3,30.4,,,,,,,9.0,31760.0,28.3,30.4,30.4,AMADOR,06005
