county,year,reimb_rate,reimb_lower,reimb_upper,county_upper,fips5
Del Norte,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,DEL NORTE,06015
Humboldt,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,HUMBOLDT,06023
Lake,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,LAKE,06033
Lassen,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,LASSEN,06035
Marin,2021,3244.776923076923,3185.4176923076925,3316.583076923077,MARIN,06041
Mendocino,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,MENDOCINO,06045
Merced,2021,3147.566923076923,3092.0915384615387,3215.3592307692306,MERCED,06047
Modoc,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,MODOC,06049
Monterey,2021,3492.589230769231,3431.336923076923,3566.326153846154,MONTEREY,06053
Napa,2021,3041.7971428571427,2985.8935714285717,3109.289285714286,NAPA,06055
Orange,2021,2656.059333333333,2612.537333333333,2710.012666666667,ORANGE,06059
San Luis Obispo,2021,2655.2684615384615,2611.1630769230765,2711.3115384615385,SAN LUIS OBISPO,06079
San Mateo,2021,3765.1984615384617,3704.2715384615385,3838.537692307692,SAN MATEO,06081
Santa Barbara,2021,3076.5884615384616,3027.912307692308,3137.3107692307694,SANTA BARBARA,06083
Santa Cruz,2021,3024.686923076923,2971.1761538461533,3090.4646153846156,SANTA CRUZ,06087
Shasta,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,SHASTA,06089
Siskiyou,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,SISKIYOU,06093
Solano,2021,3041.7971428571427,2985.8935714285717,3109.289285714286,SOLANO,06095
Sonoma,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,SONOMA,06097
Trinity,2021,3361.6484615384616,3301.146153846154,3434.6146153846153,TRINITY,06105
Ventura,2021,3436.725,3382.385,3504.1608333333334,VENTURA,06111
Yolo,2021,3041.7971428571427,2985.8935714285717,3109.289285714286,YOLO,06113
