fips5,year,shortage_flag,shortage_score
06001,2020,1,7
06003,2020,1,8
06005,2020,1,7
06007,2020,1,9
06009,2020,1,5
06011,2020,1,8
06013,2020,1,7
06015,2020,1,5
06017,2020,1,7
06019,2020,1,10
06021,2020,1,8
06023,2020,1,5
06025,2020,1,7
06027,2020,1,7
06029,2020,1,10
06031,2020,1,5
06033,2020,1,8
06035,2020,1,7
06037,2020,1,10
06039,2020,1,7
06041,2020,0,2
06043,2020,1,6
06045,2020,1,9
06047,2020,1,7
06049,2020,1,8
06051,2020,1,5
06053,2020,1,9
06055,2020,1,6
06057,2020,0,2
06059,2020,1,8
06061,2020,1,7
06063,2020,1,6
06065,2020,1,10
06067,2020,1,8
06069,2020,0,4
06071,2020,1,10
06073,2020,1,8
06075,2020,1,8
06077,2020,1,7
06079,2020,1,5
06081,2020,1,8
06083,2020,1,8
06085,2020,1,6
06087,2020,1,7
06089,2020,1,10
06091,2020,0,2
06093,2020,1,10
06095,2020,1,7
06097,2020,1,6
06099,2020,1,8
06101,2020,1,9
06103,2020,1,9
06105,2020,1,8
06107,2020,1,10
06109,2020,1,8
06111,2020,1,7
06113,2020,1,7
06115,2020,1,8
