year,total_op_expense,total_discharges,total_patient_days,total_ed_visits,total_medi_cal_rev,total_net_patient_rev,n_hospitals,cost_per_discharge,cost_per_patient_day,operating_margin,medi_cal_share
2014,93384114552.0,823770.0,18196723.0,11112471.0,19173974272.0,94191094608.0,394,113361.87837867366,5131.919332508386,0.008567477205339328,0.20356461884000107
2015,103022186468.0,786525.0,18573929.0,11999641.0,26173524871.0,105806056790.0,391,130983.99474651155,5546.601716201241,0.02631106768798051,0.24737265204910014
2016,109029855955.0,788703.0,18693584.0,12329473.0,26702229179.0,110976122391.0,392,138239.433544693,5832.474711911852,0.017537704454502,0.24061238222867942
2017,113294121781.0,723391.0,18815220.0,12652930.0,27695252647.0,113409089965.0,393,156615.33220761662,6021.408295039867,0.0010137475226675496,0.2442066385996681
2018,120824351792.0,644877.0,18887788.0,12485858.0,31893734542.0,121892504735.0,394,187360.305596261,6396.956159821362,0.008763073212107786,0.2616545997749285
2019,127083150715.0,682763.0,19178646.0,12459461.0,31650051004.0,126465046462.0,388,186130.69354226868,6626.283769719718,-0.0048875501199118045,0.2502671836167012
2020,134411733466.0,711882.0,18664048.0,10518460.0,32488328826.0,126308012315.0,382,188811.81637687146,7201.638865588001,-0.0641584092922791,0.25721510639386236
2021,160869052210.0,677195.0,18824937.0,10182740.0,35516928435.0,153915498280.0,387,237552.0377586958,8545.529379992082,-0.04517773718505094,0.230756024129476
2022,170633893940.0,656205.0,19353691.0,11802612.0,37841983059.0,162866653259.0,386,260031.3833939089,8816.607330353678,-0.047690798119662245,0.23234948531066998
2023,183344358190.0,571612.0,19694486.0,12527340.0,40398770842.0,174116834341.0,389,320749.6661896531,9309.425906824885,-0.05299616136443366,0.23202105066349196
