Model,Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Model A: Provider Supply,const,-57.79996447660657,39.349570364966425,0.1483878922818544,-136.9175783499885,21.31764939677536
Model A: Provider Supply,medi_cal_share,100.7229308563766,72.18633284516159,0.1693422286159052,-44.41741898753699,245.86328070029015
Model A: Provider Supply,shortage_flag,25.90906764919087,16.336096502196202,0.1193057665355127,-6.936855782028452,58.7549910804102
Model A: Provider Supply,poverty_pct,-1.065968594792377,1.5657934934430466,0.4992786570528584,-4.2142074159708365,2.082270226386082
Model A: Provider Supply,unemp_pct,0.4692023898709943,2.8280858946789773,0.8689261128558711,-5.21704540751738,6.155450187259369
Model A: Provider Supply,age65_pct,0.3248689602561931,0.8878504864920614,0.7160436832177479,-1.460274087458329,2.1100120079707154
Model A: Provider Supply,hispanic_pct,0.2995559063840973,1.86579422083339,0.8731205149491543,-3.451874804597938,4.050986617366133
Model A: Provider Supply,bachelors_pct,3.3459266804517975,0.4196775555806956,2.4222846422261167e-10,2.5021084002064757,4.189744960697119
Model B: Outcomes,const,307.67561676826585,84.405708921874,0.0006664091117986,137.87323254005003,477.4780009964817
Model B: Outcomes,pcp_per_100k,-0.2371858815964536,0.302874954805616,0.4374880379066408,-0.8464916987729831,0.3721199355800759
Model B: Outcomes,medi_cal_share,255.62197090049648,154.51572066144624,0.1047220557521063,-55.22356436228631,566.4675061632793
Model B: Outcomes,shortage_flag,19.85237872466248,35.16604674428683,0.5750762561037045,-50.89258221853405,90.59733966785902
Model B: Outcomes,poverty_pct,-6.0035378024326285,3.301452788642814,0.0753704087660203,-12.645204131511491,0.6381285266462333
Model B: Outcomes,unemp_pct,-1.505102475518937,5.936098020994459,0.8009484706011095,-13.446991357824574,10.4367864067867
Model B: Outcomes,age65_pct,-1.9645712891088545,1.865643520292462,0.2977127944799722,-5.71776194305862,1.788619364840911
Model B: Outcomes,hispanic_pct,-3.3813815062688333,3.916194965508193,0.3922830400344826,-11.259749578046206,4.496986565508539
Model B: Outcomes,bachelors_pct,-1.241700159781517,1.3425743133982608,0.3597605105486688,-3.942611298737721,1.4592109791746877
Model C: Desert Indicator,const,384.81717340501535,69.35912994971781,1.1530592222614883e-06,245.43478338923347,524.1995634207972
Model C: Desert Indicator,desert_q_def2,7.232235132114596,22.482194710746533,0.7490579539081381,-37.947426634919594,52.411896899148786
Model C: Desert Indicator,poverty_pct,-2.995595981933729,2.827975037814918,0.2946695911126393,-8.678624589146212,2.6874326252787544
Model C: Desert Indicator,unemp_pct,1.0839800758275366,5.719345594170109,0.8504613960957617,-10.40947520280093,12.577435354456004
Model C: Desert Indicator,age65_pct,-3.773749188543776,1.5201088375977203,0.016518295278005,-6.828522266321467,-0.7189761107660848
Model C: Desert Indicator,hispanic_pct,-3.483827106046859,3.961639901066708,0.3834821643614556,-11.445040549653644,4.477386337559926
Model C: Desert Indicator,bachelors_pct,-2.191624904220201,0.8860372904523011,0.0168932230625768,-3.972183502286232,-0.4110663061541695
