County,Medi-Cal Share,PCP per 100k,Shortage,PQI Rate,Poverty %
SUTTER,0.3931319609634023,75.42691634652131,1,318.92857142857144,14.8
STANISLAUS,0.428197239415085,86.05919544013089,1,306.85,13.1
MERCED,0.4749183860712228,46.056794074956265,1,286.0642857142857,18.4
FRESNO,0.4727469313890921,109.28736390630156,1,279.2642857142857,18.7
TEHAMA,0.3843151701124631,56.77226649208768,1,246.92142857142855,15.4
SAN BERNARDINO,0.394578570509653,96.06542864229812,1,233.47857142857143,13.6
TULARE,0.5313720848472294,66.05408700953708,1,230.97142857142856,17.8
MONTEREY,0.3923033850756014,92.32653732825894,1,225.87857142857143,12.6
KERN,0.462461483188248,65.17824149469591,1,216.40714285714284,19.0
LOS ANGELES,0.3814301544965657,118.43398100875211,1,212.62857142857143,13.6
MADERA,0.4514644864697663,98.23203329814054,1,210.92142857142855,19.9
LAKE,0.3925296715226736,47.375706625936715,1,200.42857142857144,16.7
MENDOCINO,0.3889386214852093,88.50503925567263,1,176.60714285714286,15.2
IMPERIAL,0.512467863462844,29.621367611228692,1,149.80714285714288,19.6
