Condition,Type,N_counties,Mean_rate,MC_coef,MC_pval,MC_coef_w_ED,MC_pval_w_ED,ED_coef,ED_pval
Diabetes Long-term Complications,Chronic - Diabetes,55,84.87575757575756,28.2678285897026,0.00016548252123932582,24.25159620970931,0.001145189259287328,184.6084952780169,0.03590718951494069
Heart Failure,Chronic - Cardiovascular,55,327.4684848484848,109.63540134314044,0.00033098481946045776,87.64396863597787,0.003952869472180836,1010.8492031738008,0.004435467788755459
Lower-Extremity Amputation (Diabetes),Chronic - Diabetes,55,29.76727272727273,11.576447073872728,0.0005422767445690169,10.366777130414114,0.001710159348996429,55.60319396790244,0.1099150281153951
Diabetes Short-term Complications,Chronic - Diabetes,55,67.60424242424241,17.04552286536618,0.0010898680321315593,15.672202488723658,0.003026807008921649,63.1254828603912,0.195109138762672
Community-Acquired Pneumonia,Acute - Infectious,55,98.18848484848486,26.4490885833067,0.004070069145674366,31.16982918346419,0.00022858238628513885,-216.9916320415629,0.03810439681355451
Hypertension,Chronic - Cardiovascular,55,36.28969696969696,14.228381835625207,0.005739204572951019,8.738810335795922,0.01988234667719654,252.3313987887973,1.0547431245119927e-05
Uncontrolled Diabetes,Chronic - Diabetes,55,25.772727272727277,10.305884234090186,0.007939526597659908,7.59872673509501,0.05044466234477196,124.43609459941982,0.0009603185506789973
COPD or Asthma in Older Adults (Age 40+),Chronic - Respiratory,55,182.01999999999995,50.30873041253603,0.020639155264461324,47.17506102769263,0.03304561248831389,144.0409655368827,0.6627923854961966
Urinary Tract Infection,Acute - Infectious,55,86.23636363636363,17.554764950431743,0.04003931004329194,18.802645616502772,0.037690810747439935,-57.35957241853793,0.5455382479646211
Asthma in Younger Adults (Age 18-39),Chronic - Respiratory,55,14.853939393939395,2.6225455708346708,0.24568483157587329,2.5004060022381513,0.2559572189878895,5.6142174653118095,0.8429298609126898
