fips5,year,ahrf_pcp_count,population,medi_cal_share,county_type,ahrf_pcp_per_100k,high_mc,post_2017,treat_x_post
06001,2021,,1669095.0,0.0449587617507957,Adequate,,0,1,0
06003,2021,,1195.0,0.0658124128312412,,,0,1,0
06005,2021,,40112.0,0.0446138312724371,Adequate,,0,1,0
06007,2021,,207814.0,0.0974358881820602,Adequate,,1,1,1
06009,2021,,45250.0,0.0740055248618784,Underserved,,0,1,0
06011,2021,,21841.0,0.1239192726218274,TRUE DESERT,,1,1,1
06013,2021,,1164050.0,0.0508099737983763,Adequate,,0,1,0
06015,2021,,27460.0,0.1518805130695152,High MC but OK Access,,1,1,1
06017,2021,,191211.0,0.046123504550321,Underserved,,0,1,0
06019,2021,,1008686.0,0.0847922032558529,Well-Served,,0,1,0
06021,2021,,28816.0,0.1179675932352396,TRUE DESERT,,1,1,1
06023,2021,,135477.0,0.1107795665192861,Well-Served,,1,1,1
06025,2021,,180496.0,0.1369330899299707,TRUE DESERT,,1,1,1
06027,2021,,18982.0,0.0814598479261054,Underserved,,0,1,0
06029,2021,,906122.0,0.10180996598692,Underserved,,1,1,1
06031,2021,,151167.0,0.1416641492154005,Underserved,,1,1,1
06033,2021,,67821.0,0.1695865259695046,TRUE DESERT,,1,1,1
06035,2021,,31014.0,0.0937614195739558,Underserved,,1,1,1
06037,2021,,9966353.0,0.027640840357774,Adequate,,0,1,0
06039,2021,,156187.0,0.1677956552081799,High MC but OK Access,,1,1,1
06041,2021,,260112.0,0.066553809299242,Well-Served,,0,1,0
06043,2021,,17066.0,0.0842281436774874,Underserved,,0,1,0
06045,2021,,90920.0,0.1530619103485359,Well-Served,,1,1,1
06047,2021,,281604.0,0.1730691759428922,TRUE DESERT,,1,1,1
06049,2021,,8606.0,0.140383324295711,Well-Served,,1,1,1
06051,2021,,13191.0,0.0693733732595456,Underserved,,0,1,0
06053,2021,,437429.0,0.1561509918689026,TRUE DESERT,,1,1,1
06055,2021,,137294.0,0.0868487010033618,Adequate,,0,1,0
06057,2021,,102185.0,0.0670407838723883,Adequate,,0,1,0
06059,2021,,3174592.0,0.052860187832567,Adequate,,0,1,0
06061,2021,,407282.0,0.0350208505874689,Well-Served,,0,1,0
06063,2021,,19662.0,0.0868108534228461,Adequate,,0,1,0
06065,2021,,2423069.0,0.0482074463211736,Underserved,,0,1,0
06067,2021,,1581162.0,0.0415535407691492,Well-Served,,0,1,0
06069,2021,,64712.0,0.101622058762929,Underserved,,1,1,1
06071,2021,,2179941.0,0.0519891761908665,Underserved,,0,1,0
06073,2021,,3289937.0,0.016091190995338,Well-Served,,0,1,0
06075,2021,,857605.0,0.0508647050761427,Well-Served,,0,1,0
06077,2021,,781220.0,0.0720152162933965,Underserved,,0,1,0
06079,2021,,279100.0,0.0776462040686333,Underserved,,0,1,0
06081,2021,,757341.0,0.0511965822969221,Underserved,,0,1,0
06083,2021,,441980.0,0.1231293145491751,TRUE DESERT,,1,1,1
06085,2021,,1913594.0,0.0322104636615708,Well-Served,,0,1,0
06087,2021,,266168.0,0.1027709316421708,Well-Served,,1,1,1
06089,2021,,181768.0,0.1253171014088777,Well-Served,,1,1,1
06091,2021,,3225.0,0.0630555555555555,,,0,1,0
06093,2021,,43912.0,0.1495472004615291,Well-Served,,1,1,1
06095,2021,,450518.0,0.0972033550515431,Underserved,,1,1,1
06097,2021,,485182.0,0.0888280068098157,Well-Served,,0,1,0
06099,2021,,551722.0,0.0761425138022409,Underserved,,0,1,0
06101,2021,,99144.0,0.1202864703681697,Underserved,,1,1,1
06103,2021,,65492.0,0.1140555971212769,Adequate,,1,1,1
06105,2021,,16050.0,0.114165801315334,Underserved,,1,1,1
06107,2021,,474381.0,0.1793541145419532,TRUE DESERT,,1,1,1
06109,2021,,54810.0,0.0666221948549534,Adequate,,0,1,0
06111,2021,,840730.0,0.0977424381192535,Underserved,,1,1,1
06113,2021,,215702.0,0.0926854848098044,Adequate,,1,1,1
06115,2021,,81973.0,0.1419393513040201,Underserved,,1,1,1
06001,2020,,1682353.0,0.0407798713402531,Adequate,,0,1,0
06003,2020,,1204.0,0.0593334717607973,,,0,1,0
06005,2020,,40474.0,0.0397707993609065,Adequate,,0,1,0
06007,2020,,211632.0,0.0906252756356946,Adequate,,0,1,0
06009,2020,,45292.0,0.0671503797580146,Underserved,,0,1,0
06011,2020,,21839.0,0.1150369369781888,TRUE DESERT,,1,1,1
06013,2020,,1165927.0,0.0458332725805303,Adequate,,0,1,0
06015,2020,,27743.0,0.1418395831581139,High MC but OK Access,,1,1,1
06017,2020,,191185.0,0.0393373782810715,Underserved,,0,1,0
06019,2020,,1008654.0,0.0979542179906126,Well-Served,,1,1,1
06021,2020,,28917.0,0.1095311581422692,TRUE DESERT,,1,1,1
06023,2020,,136463.0,0.1032273094782712,Well-Served,,1,1,1
06025,2020,,179702.0,0.1297695861296294,TRUE DESERT,,1,1,1
06027,2020,,19016.0,0.07434638374702,Underserved,,0,1,0
06029,2020,,909235.0,0.0958372166977051,Underserved,,1,1,1
06031,2020,,152486.0,0.0983981043068434,Underserved,,1,1,1
06033,2020,,68163.0,0.1571229585291466,TRUE DESERT,,1,1,1
06035,2020,,32730.0,0.080630240689819,Underserved,,0,1,0
