county,year,Acute Care,Childrens_or_Cancer,Court/Law Enforcement,Critical Access Hospital,Died,Disaster_Care_Site,Home Health Service,Hospice_Care,Invalid or Blank,Invalid/Blank,Left Against Medical Advice,Not_Defined_Elsewhere,Other,Prison/Jail,Psychiatric_Care,Rehab,Residential Care facility,Routine (Home),Skilled Nursing/Intermediate Care (SN/IC),total_ed,routine_home_rate,admitted_rate,left_ama_rate,psych_rate,admission_rate,county_upper
Alameda,2008,5073.0,337.0,,80.0,660.0,,115.0,37.0,194.0,,5109.0,718.0,526.0,,4052.0,92.0,102.0,374292.0,1775.0,395170.0,94.7167042032543,1.2837512969101905,1.2928613001999139,1.025381481387757,1.2837512969101905,ALAMEDA
Alameda,2009,5108.0,254.0,67.0,58.0,661.0,,168.0,102.0,103.0,,5440.0,567.0,373.0,,4629.0,107.0,127.0,413845.0,1758.0,435376.0,95.05461945536732,1.1732387637352542,1.249494689647569,1.063218918819595,1.1732387637352542,ALAMEDA
Alameda,2010,5068.0,423.0,1237.0,66.0,659.0,,302.0,130.0,87.0,,5046.0,431.0,197.0,,5102.0,105.0,175.0,409862.0,1997.0,432897.0,94.67887280346133,1.1707172837880606,1.1656352434874808,1.1785713460707745,1.1707172837880606,ALAMEDA
Alameda,2011,5152.0,369.0,1573.0,36.0,695.0,,358.0,137.0,47.0,,5465.0,624.0,214.0,,5437.0,158.0,205.0,416975.0,2291.0,441747.0,94.39226525590439,1.166278435394015,1.23713347232692,1.230795002569344,1.166278435394015,ALAMEDA
Alameda,2012,5271.0,353.0,,32.0,722.0,,442.0,181.0,53.0,,5436.0,634.0,371.0,1704.0,5617.0,162.0,232.0,424814.0,2494.0,450530.0,94.29205602290635,1.1699553858788538,1.2065789181630524,1.2467538232748097,1.1699553858788538,ALAMEDA
Alameda,2013,4933.0,327.0,,136.0,733.0,,1053.0,294.0,82.0,,4687.0,904.0,565.0,1736.0,5789.0,157.0,305.0,430713.0,2882.0,457309.0,94.1842386657599,1.078701709347509,1.0249087597226383,1.2658836803999045,1.078701709347509,ALAMEDA
Alameda,2014,4043.0,375.0,,139.0,685.0,,1464.0,292.0,195.0,,4477.0,1052.0,846.0,1713.0,7197.0,179.0,311.0,441845.0,2741.0,469568.0,94.09606276407251,0.8610041570124028,0.9534295352323838,1.5326853618645224,0.8610041570124028,ALAMEDA
Alameda,2015,3728.0,404.0,,135.0,719.0,,1882.0,363.0,585.0,,5270.0,1500.0,614.0,2081.0,6503.0,204.0,266.0,463887.0,3081.0,493237.0,94.04951372261206,0.7558232654890042,1.068451880130647,1.3184331264686144,0.7558232654890042,ALAMEDA
Alameda,2016,4267.0,422.0,,111.0,690.0,,2185.0,363.0,252.0,,6290.0,1738.0,141.0,2649.0,6446.0,177.0,361.0,464980.0,3422.0,496510.0,93.6496747296127,0.8593986022436608,1.2668425610763125,1.2982618678375057,0.8593986022436608,ALAMEDA
Alameda,2017,5567.0,460.0,,82.0,693.0,,2335.0,339.0,293.0,,6913.0,1005.0,20.0,2535.0,6348.0,248.0,548.0,457089.0,3576.0,490068.0,93.2705257229609,1.1359648048842201,1.4106205669417304,1.2953304439383921,1.1359648048842201,ALAMEDA
Alameda,2018,5294.0,544.0,,22.0,679.0,,2589.0,325.0,,394.0,8596.0,874.0,24.0,2645.0,6501.0,207.0,824.0,446043.0,3646.0,481225.0,92.68907475713024,1.1001090965764455,1.7862746116681385,1.350927320899787,1.1001090965764455,ALAMEDA
Alameda,2019,5246.0,584.0,,18.0,657.0,,2370.0,330.0,,227.0,9473.0,1258.0,52.0,2315.0,5958.0,169.0,701.0,438362.0,3794.0,473533.0,92.57264013278905,1.107842536845373,2.0004941577461337,1.258201645925416,1.107842536845373,ALAMEDA
Alameda,2020,3589.0,384.0,,9.0,761.0,,1994.0,266.0,,18.0,5514.0,2618.0,16.0,1589.0,5282.0,81.0,307.0,337028.0,3018.0,364494.0,92.46462218856826,0.9846526966150335,1.5127821034091096,1.449132221655226,0.9846526966150335,ALAMEDA
Alameda,2021,4192.0,459.0,,9.0,719.0,,2020.0,306.0,,16.0,5763.0,2720.0,14.0,1763.0,4903.0,78.0,349.0,361417.0,3016.0,389765.0,92.72689954203173,1.0755198645337576,1.4785832488807358,1.2579374751452799,1.0755198645337576,ALAMEDA
Alameda,2022,4209.0,486.0,,22.0,718.0,,2316.0,299.0,,21.0,8394.0,2722.0,10.0,2113.0,4550.0,89.0,375.0,413200.0,2964.0,444510.0,92.95628894738026,0.946885334413174,1.8883714652088817,1.0235990191446762,0.946885334413174,ALAMEDA
Alameda,2023,4030.0,533.0,,24.0,619.0,1.0,2883.0,289.0,,59.0,8001.0,2820.0,9.0,2643.0,4589.0,106.0,329.0,446413.0,4072.0,479443.0,93.11075560598444,0.8405587316949042,1.668811516697501,0.9571523622203265,0.8405587316949042,ALAMEDA
