fips5,year,new_providers,new_physicians,new_pcps,population,medi_cal_share,county_type,access_gap,high_mc,post_prop56,treat_x_post,new_providers_per100k,new_physicians_per100k,new_pcps_per100k,true_desert,desert_x_post,event_time
06001,2010,214,159,65,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,16.429553280830163,12.207004540429887,4.9902848750185065,0,0,-7
06001,2011,191,138,61,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,14.663760171208228,10.5947586577316,4.683190421171214,0,0,-6
06001,2012,296,151,51,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,22.724989584699664,11.5928156327353,3.915454286552982,0,0,-5
06001,2013,288,119,57,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,22.110800677005077,9.136060001956958,4.376095967323922,0,0,-4
06001,2014,317,174,66,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,24.33723546739795,13.358608742357234,5.06705848848033,0,0,-3
06001,2015,532,298,130,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,40.84356236168993,22.87853681162331,9.980569750037013,0,0,-2
06001,2016,599,322,128,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,45.987394463632086,24.721103534707066,9.827022523113367,0,0,-1
06001,2017,443,211,89,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,0,0,34.01071076358767,16.199232440444693,6.8328515981022635,0,0,0
06001,2018,679,187,91,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,1,0,52.129283540577944,14.356665717360935,6.98639882502591,0,0,1
06001,2019,631,160,69,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,1,0,48.44415009441043,12.28377815389171,5.2973793288658,0,0,2
06001,2020,844,257,102,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,1,0,64.79692976177877,19.73081865968856,7.830908573105964,0,0,3
06001,2021,561,179,26,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,1,0,43.069997152082806,13.74247680966635,1.9961139500074025,0,0,4
06001,2022,502,177,41,1302530.85,0.04855035798199162,Adequate,13.968451205880244,0,1,0,38.54035395783524,13.588929582742702,3.1477181519347504,0,0,5
