year,event_time,diff,high_mc,low_mc
2012,-5,-2.3101274251296178,2.9333933147706177,5.2435207399002355
2013,-4,-1.1659241266159448,3.4732396903587306,4.639163816974675
2014,-3,-2.691146092189814,4.58774678337365,7.278892875563463
2015,-2,-4.646047943858592,9.709822359453181,14.355870303311773
2016,-1,-0.3704341595175329,5.806643851340681,6.177078010858214
2017,0,-2.2874818020044327,3.850367822966327,6.13784962497076
2018,1,-2.242441938187044,4.653299984269061,6.895741922456105
2019,2,-0.5886229269542498,3.1909023619919,3.7795252889461497
2020,3,-2.408577650418369,3.5589502337030288,5.967527884121398
2021,4,-1.094341422042575,1.7494349964935834,2.8437764185361583
2022,5,-1.9177135436031314,1.3336135532775688,3.2513270968807
2023,6,-1.1345064282225998,1.7582818117644636,2.8927882399870635
