year,Non-Desert,TRUE DESERT,Gap
2005,277.17005208333336,326.640625,49.47057291666664
2006,264.025390625,309.30390625,45.27851562500001
2007,261.27421875,296.3453125,35.07109374999999
2008,260.4497395833333,305.34375,44.894010416666674
2009,254.92317708333334,305.13515625,50.21197916666668
2010,248.2203125,307.3,59.079687500000006
2011,238.0328125,292.61171875,54.57890625000002
2012,223.2854166666667,280.4046875,57.11927083333333
2013,219.32330729166665,266.0140625,46.69075520833337
2014,206.16080729166666,245.07890625,38.91809895833333
2015,210.06653645833333,258.1390625,48.07252604166669
2016,256.0044642857143,309.8285714285714,53.824107142857144
2017,255.2797619047619,313.32142857142856,58.04166666666666
2018,243.88913690476193,322.29910714285717,78.40997023809524
2019,244.52440476190478,316.44464285714287,71.92023809523809
2020,198.4202380952381,246.23928571428573,47.81904761904764
2021,196.50386904761908,248.10892857142858,51.6050595238095
2022,207.0483630952381,245.8357142857143,38.78735119047619
2023,200.89270833333333,229.1392857142857,28.246577380952374
2024,210.5356913919414,238.103228021978,27.567536630036585
