fips5,year,county_name,county_type,ed_visits,ed_visits_resident,ed_rate_facility,ed_rate_residence
06001,2018,ALAMEDA,Adequate,566702.0,479207.0,336.85082738283825,284.84331171876534
06005,2018,AMADOR,Adequate,20806.0,18823.0,514.0584078667787,465.06399169837425
06007,2018,BUTTE,Adequate,101262.0,84690.0,478.48151508278517,400.1757768201406
06009,2018,CALAVERAS,Underserved,10856.0,19517.0,239.68912832288265,430.91495186787955
06011,2018,COLUSA,TRUE DESERT,6308.0,9188.0,288.84106415128895,420.71523421402077
06013,2018,CONTRA COSTA,Adequate,312575.0,378374.0,268.0913985180891,324.52632111615907
06015,2018,DEL NORTE,High MC but OK Access,17334.0,14490.0,624.8062574343078,522.2939119777961
06017,2018,EL DORADO,Underserved,44374.0,59137.0,232.09979862436907,309.3181996495541
06019,2018,FRESNO,Well-Served,291371.0,378858.0,288.87110941908725,375.60749275767506
06021,2018,GLENN,TRUE DESERT,5748.0,12213.0,198.77580661894388,422.3467164643635
06023,2018,HUMBOLDT,Well-Served,54930.0,51223.0,402.52669221693793,375.3618196873878
06025,2018,IMPERIAL,TRUE DESERT,84262.0,82620.0,468.8985097550389,459.76116014290324
06027,2018,INYO,Underserved,10105.0,8813.0,531.3946150610012,463.4518300378628
06029,2018,KERN,Underserved,332771.0,336477.0,365.99009057064455,370.0660445319417
06031,2018,KINGS,Underserved,106876.0,60240.0,700.8905735608515,395.0526605721181
06033,2018,LAKE,TRUE DESERT,40316.0,42717.0,591.464577556739,626.6889661546586
06035,2018,LASSEN,Underserved,10325.0,11111.0,315.4598227925451,339.47448823709135
06037,2018,LOS ANGELES,Adequate,3238050.0,3133294.0,323.3520161605607,312.89107089877785
06039,2018,MADERA,High MC but OK Access,135995.0,57832.0,870.3401491152283,370.11295638539565
06041,2018,MARIN,Well-Served,68284.0,64432.0,260.3070284117551,245.62272940405074
06043,2018,MARIPOSA,Underserved,6630.0,7077.0,387.01768723366996,413.1107349249898
06045,2018,MENDOCINO,Well-Served,50780.0,49214.0,554.360760253709,537.2648770209933
06047,2018,MERCED,TRUE DESERT,89511.0,116673.0,318.31565920583785,414.90814432329785
06049,2018,MODOC,Well-Served,5023.0,5315.0,577.3563218390805,610.919540229885
06051,2018,MONO,Underserved,10045.0,4093.0,761.2732095490717,310.1932550208412
06053,2018,MONTEREY,TRUE DESERT,148464.0,145442.0,338.15982780416135,331.27654970560434
