NAME,DP03_0128PE,DP03_0099E,DP03_0009PE,state,county
"Alameda County, California",9.2,67038,5.2,6,1
"Alpine County, California",12.3,85,3.6,6,3
"Amador County, California",7.8,2221,6.1,6,5
"Butte County, California",18.3,13173,7.1,6,7
"Calaveras County, California",13.4,2407,5.9,6,9
"Colusa County, California",10.8,1947,8.4,6,11
"Contra Costa County, California",8.3,55641,5.9,6,13
"Del Norte County, California",11.6,1471,6.4,6,15
"El Dorado County, California",8.3,7653,4.8,6,17
"Fresno County, California",18.7,70433,8.5,6,19
"Glenn County, California",12.4,2541,7.4,6,21
"Humboldt County, California",18.9,7770,8.7,6,23
"Imperial County, California",19.6,11673,12.6,6,25
"Inyo County, California",10.5,1316,2.7,6,27
"Kern County, California",19,69712,8.4,6,29
"Kings County, California",16.8,10715,9.8,6,31
"Lake County, California",16.7,4306,11.5,6,33
"Lassen County, California",13.7,1611,7.6,6,35
"Los Angeles County, California",13.6,849903,7,6,37
"Madera County, California",19.9,11433,10.6,6,39
"Marin County, California",7.8,9666,6.1,6,41
"Mariposa County, California",13.9,1107,6.9,6,43
"Mendocino County, California",15.2,7335,9.3,6,45
"Merced County, California",18.4,25346,10.8,6,47
"Modoc County, California",20.3,834,6,6,49
"Mono County, California",11,1506,2,6,51
"Monterey County, California",12.6,41838,5.1,6,53
"Napa County, California",8.4,7679,5.1,6,55
"Nevada County, California",10.6,5322,4.7,6,57
"Orange County, California",9.5,213959,5.3,6,59
"Placer County, California",6.7,13827,4.5,6,61
"Plumas County, California",10.7,979,9.7,6,63
"Riverside County, California",11.1,195124,6.6,6,65
"Sacramento County, California",12.6,80866,6.4,6,67
"San Benito County, California",7.8,4154,6,6,69
"San Bernardino County, California",13.6,181725,7.1,6,71
"San Diego County, California",10.4,214784,6.2,6,73
"San Francisco County, California",10.6,28786,5.6,6,75
"San Joaquin County, California",12.6,50075,7.4,6,77
"San Luis Obispo County, California",12.8,16050,5.1,6,79
"San Mateo County, California",6.5,29225,4.5,6,81
"Santa Barbara County, California",13.8,40217,6.1,6,83
"Santa Clara County, California",6.9,75322,4.5,6,85
"Santa Cruz County, California",11.2,14067,5.6,6,87
"Shasta County, California",13,12062,6.2,6,89
"Sierra County, California",12.3,327,12.2,6,91
"Siskiyou County, California",16.6,2801,7.7,6,93
"Solano County, California",9.7,21296,5.9,6,95
"Sonoma County, California",8.6,26060,5.2,6,97
"Stanislaus County, California",13.1,33141,7.8,6,99
"Sutter County, California",14.8,5821,7,6,101
"Tehama County, California",15.4,4149,6.7,6,103
"Trinity County, California",18,1954,5.9,6,105
"Tulare County, California",17.8,37746,8.8,6,107
"Tuolumne County, California",10.7,3059,7.9,6,109
"Ventura County, California",9,65925,5.5,6,111
"Yolo County, California",16.3,10032,5.3,6,113
"Yuba County, California",15.3,5517,7.3,6,115
