FID,OBJECTID,UNIT_COUNT,CNTY_FIPS,MSSA_ID,DEFINITION,AREA_SQMI,MSSA_COUNT,MSSA_NAME,Total_Popu,EST_Physic,EST_FNPPA,EST_Provid,Provider_R,Score_Prov,Pop_100FPL,PCT_100FPL,Score_Pove,Score_Tota,PCSA,Effective,Shape__Area,Shape__Length
1,1,11,001,1.1,Urban,0.47210174,Alameda,Livermore Central and West/Spring Town,58273,46,5,49.8,1172.5,1,3149,0.054,1,2,No,2020/01/30 00:00:00+00,129743278.898438,60419.0809201248
2,2,8,001,1.2,Rural,1.9502678,Alameda,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,39930,13.5,2.7,15.5,2576.1,4,1774,0.044,0,4,No,2020/01/30 00:00:00+00,1349996927.49219,203038.482813312
3,3,12,007,10,Rural,7.76886845,Butte,Oroville/Palermo/Thermalito,45959,13,33.1,37.8,1215.8,1,10967,0.239,4,5,Yes,2020/01/30 00:00:00+00,1207559937.80859,206854.25524053
4,4,1,049,100,Frontier,956.13437615,Modoc,Adin/Lookout/Newell,1392,0,0,0,0,5,146,0.105,2,7,Yes,2020/01/30 00:00:00+00,4419590621.60156,425181.340834315
5,5,2,051,102,Frontier,1452.26790405,Mono,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,5860,1,2,2.5,2344,3,760,0.13,2,5,Yes,2020/01/30 00:00:00+00,12788560929.0781,708134.97223778
6,6,1,051,103,Rural,66.38344825,Mono,Mammoth Lakes,8083,13,6,17.5,461.9,0,618,0.076,1,1,No,2020/01/30 00:00:00+00,274650224.488281,80096.8009247577
7,7,1,053,104,Frontier,251.29157927,Monterey,Big Sur/Lucia,1696,0.5,0.7,1,1696,2,238,0.14,2,4,No,2020/01/30 00:00:00+00,1002874960.46484,256407.665169181
8,8,3,053,105,Rural,0.73217955,Monterey,King City/San Lucas,17047,17,5.7,21.2,804.1,0,4157,0.244,4,4,No,2020/01/30 00:00:00+00,1799930172.66406,328794.786749009
9,9,1,053,106,Frontier,1432.1257989,Monterey,Bradley/San Ardo,3579,0,0,0,0,5,748,0.209,4,9,Yes,2020/01/30 00:00:00+00,5673281136.58984,493583.353149883
10,10,8,053,107,Rural,0.69850981,Monterey,Chualar/Gonzalez/Greenfield/Soledad,47914,21,10.2,28.7,1669.5,2,8282,0.173,3,5,Yes,2020/01/30 00:00:00+00,1962055401.28516,287904.499696895
11,11,13,053,108,Rural,1.23726082,Monterey,Carmel Valley/Castroville/Marina/Moss Landing/Ord,54806,27,0.7,27.5,1992.9,2,6091,0.111,2,4,No,2020/01/30 00:00:00+00,1376828427.625,318078.106065415
12,12,8,053,109.1,Rural,110.79872691,Monterey,Aromas/Las Lomas/Pajaro/Prunedale,45458,4,2,5.5,8265.1,5,4790,0.105,2,7,Yes,2020/01/30 00:00:00+00,853627172.769531,262343.208147805
13,13,32,053,109.2,Urban,5.3615592,Monterey,Salinas/Spreckels,153612,200,46.8,235.1,653.4,0,26549,0.173,3,3,No,2020/01/30 00:00:00+00,156252656.046875,77060.0038131513
14,14,1,007,11,Frontier,444.71690413,Butte,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,4798,0,0.3,0.2,23990,5,1085,0.226,4,9,Yes,2020/01/30 00:00:00+00,1946578469.04688,261941.034449605
15,15,27,053,110,Urban,0.40276592,Monterey,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,91349,143.5,38.8,172.6,529.3,0,10078,0.11,2,2,No,2020/01/30 00:00:00+00,390795051.675781,147528.619689459
16,16,4,055,111.1,Rural,2.45846241,Napa,Angwin/Deer Park/St. Helena,12684,17.5,7.9,23.4,542.1,0,1306,0.103,2,2,No,2020/01/30 00:00:00+00,537942806.140625,146454.842332973
17,17,2,055,111.2,Rural,2.61625327,Napa,Calistoga,6573,3,0,3,2191,3,672,0.102,2,5,Yes,2020/01/30 00:00:00+00,302291831.816406,89444.8146786932
18,18,1,055,111.3,Frontier,293.05882358,Napa,Berryessa,1741,0,0,0,0,5,79,0.045,0,5,Yes,2020/01/30 00:00:00+00,1246029433.92969,186776.214098751
19,19,18,055,112.1,Urban,1.12143507,Napa,Napa Central,63398,68,22.3,84.7,748.5,0,5046,0.08,1,1,No,2020/01/30 00:00:00+00,83559435.125,62870.3859485374
20,20,10,055,112.2,Rural,0.2979572,Napa,Napa Northeast/Rutherford/Yountville,31661,39,14.6,49.9,634.5,0,2337,0.074,1,1,No,2020/01/30 00:00:00+00,980689649.375,269884.932138936
21,21,5,055,112.3,Urban,1.02347135,Napa,American Canyon,21358,2,2,3.5,6102.3,5,1845,0.086,1,6,Yes,2020/01/30 00:00:00+00,189893672.023438,82467.2143726589
22,22,15,057,113,Rural,28.02578244,Nevada,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,77416,66,27.2,86.4,896,0,9935,0.128,2,2,No,2020/01/30 00:00:00+00,1775961524.76953,252877.214966719
23,23,5,057,114,Rural,512.94983536,Nevada,North Bloomfield/North San Juan/Truckee,20421,19,9.9,26.4,773.5,0,1926,0.094,1,1,No,2020/01/30 00:00:00+00,2441629552.15234,378539.229167633
24,24,21,059,115.1,Urban,2.63360548,Orange,Dana Point/San Clemente/San Juan Capistrano,116086,76,23.8,93.9,1236.3,1,10187,0.088,1,2,No,2020/01/30 00:00:00+00,116737081.519531,60046.8096357235
25,25,23,059,115.2a,Urban,0.61866199,Orange,Lake Forest East/Mission Viejo Central and South,116381,125,37.4,153,760.7,0,6745,0.058,1,1,No,2020/01/30 00:00:00+00,81763396.8671875,61056.8223094158
26,26,25,059,115.2b,Urban,2.30732167,Orange,Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon,144626,80,17.2,92.9,1556.8,2,5653,0.039,0,2,No,2020/01/30 00:00:00+00,770620099.289062,151182.817752489
27,27,26,059,115.2c,Urban,1.62808627,Orange,Aliso Viejo/Laguna Hills/Laguna Niguel,128572,109,38.1,137.6,934.4,0,8492,0.066,1,1,No,2020/01/30 00:00:00+00,108819889.582031,58251.8593499647
28,28,17,059,115.2d,Urban,1.30230809,Orange,Laguna Beach/Laguna Woods,80187,75.5,42.7,107.5,745.9,0,7989,0.1,1,1,No,2020/01/30 00:00:00+00,86227637.8984375,73414.5106713636
29,29,14,059,116a,Urban,0.67614429,Orange,Buena Park/La Palma,81893,45,13.6,55.2,1483.6,1,12878,0.157,3,4,No,2020/01/30 00:00:00+00,38063992.234375,33298.7911882912
30,30,16,059,116b,Urban,0.20953965,Orange,Santa Ana Central,112026,68,16.5,80.4,1393.4,1,29637,0.265,5,6,Yes,2020/01/30 00:00:00+00,22763635.5195312,26462.8729503547
31,31,20,059,116c,Urban,0.50759448,Orange,Anaheim West,125422,86.5,17.2,99.4,1261.8,1,21459,0.171,3,4,No,2020/01/30 00:00:00+00,41919830.0664062,33015.6526960666
32,32,30,059,116d,Urban,0.971517,Orange,Irvine South/Newport Beach/Newport Coast/San Joaquin Hills,145141,152.5,39.8,182.4,795.7,0,13969,0.096,1,1,No,2020/01/30 00:00:00+00,204362674.566406,78848.8295337668
33,33,26,059,116e,Urban,0.98486561,Orange,Cypress/Los Alamitos/Rossmoor,115854,113.5,27.8,134.4,862,0,8280,0.071,1,1,No,2020/01/30 00:00:00+00,71103015.5117188,39012.0505543913
34,34,22,059,116f,Urban,0.31767989,Orange,Fullerton Central and South,106134,103,44.5,136.4,778.1,0,16342,0.154,3,3,No,2020/01/30 00:00:00+00,66909219.59375,40671.2627569927
35,35,20,059,116g,Urban,1.4883595,Orange,Santa Ana South,119730,83,48,119,1006.1,1,18443,0.154,3,4,No,2020/01/30 00:00:00+00,41986438.4804688,38080.9198416294
36,36,27,059,116h,Urban,0.4597944,Orange,City of Orange South/Santa Ana North/Tustin Foothills/Tustin West,141882,380.5,124.5,473.8,299.5,0,22633,0.16,3,3,No,2020/01/30 00:00:00+00,87622142.2070312,72315.0982422437
37,37,20,059,116i,Urban,0.28493887,Orange,Garden Grove South/Santa Ana West,120364,83,17.2,95.9,1255.1,1,23297,0.194,3,4,No,2020/01/30 00:00:00+00,36654223.8515625,31364.1434443113
38,38,17,059,116j,Urban,0.51101256,Orange,Fountain Valley/Huntington Beach Central,80319,162.5,46.5,197.4,406.9,0,7435,0.093,1,1,No,2020/01/30 00:00:00+00,46547490.234375,37416.2854787081
39,39,22,059,116k,Urban,0.47822414,Orange,Brea West/Fullerton North/La Habra,110930,57,21.2,72.9,1521.7,2,11734,0.106,2,4,No,2020/01/30 00:00:00+00,70718580,53666.5802499567
40,40,17,059,116l,Urban,0.56345656,Orange,Anaheim Central,100929,109,31.4,132.6,761.2,0,20249,0.201,4,4,No,2020/01/30 00:00:00+00,33199110.703125,30960.4857960684
41,41,30,059,116m,Urban,1.81319383,Orange,Brea East/Placentia Central and North/Yorba Linda,146322,106,43.1,138.3,1058,1,8619,0.059,1,2,No,2020/01/30 00:00:00+00,181440997.539062,64567.2586738389
42,42,27,059,116n,Urban,1.01446723,Orange,Anaheim Hills/City of Orange East/Villa Park,124796,408.5,27,428.7,291.1,0,7970,0.064,1,1,No,2020/01/30 00:00:00+00,265977932.894531,90870.8105664515
43,43,17,059,116o,Urban,0.40089713,Orange,Irvine Central/Tustin East,99394,199,40.5,229.4,433.3,0,9531,0.096,1,1,No,2020/01/30 00:00:00+00,49557477.5234375,40984.644144466
44,44,22,059,116p,Urban,0.60684015,Orange,Costa Mesa,115982,239.5,87.5,305.1,380.1,0,16348,0.141,2,2,No,2020/01/30 00:00:00+00,73442612.0234375,48473.9751898971
45,45,22,059,116q,Urban,0.47104902,Orange,Anaheim East/City of Orange North/Placentia Southwest,124780,26,20.6,41.4,3014,5,19711,0.158,3,8,Yes,2020/01/30 00:00:00+00,68432521.828125,47122.7137606929
46,46,23,059,116r,Urban,0.5492865,Orange,Garden Grove North/Stanton,127633,230,34.1,255.5,499.5,0,23293,0.182,3,3,No,2020/01/30 00:00:00+00,45595956.7382812,38913.5723352452
47,47,22,059,116s,Urban,0.53491388,Orange,Huntington Beach North/Seal Beach East/Westminster,128512,132.5,38.8,161.6,795.2,0,25310,0.197,3,3,No,2020/01/30 00:00:00+00,49047329.1875,48333.0130113563
48,48,19,059,116t,Urban,0.79577071,Orange,Huntington Beach South,83242,57.5,24.9,76.2,1092.4,1,4642,0.056,1,2,No,2020/01/30 00:00:00+00,43287159.7265625,29870.4899861498
49,49,23,059,116u,Urban,0.54322561,Orange,Huntington Beach West/Seal Beach West,89287,38,23.9,55.9,1597.3,2,6825,0.076,1,3,No,2020/01/30 00:00:00+00,88565717.75,51564.1888226583
50,50,14,059,116v,Urban,0.81587752,Orange,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,132093,36,19.9,50.9,2595.1,4,10788,0.082,1,5,Yes,2020/01/30 00:00:00+00,208215470.925781,75666.6314721165
51,51,9,061,117,Rural,10.98685492,Placer,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,10464,1,2,2.5,4185.6,5,1214,0.116,2,7,Yes,2020/01/30 00:00:00+00,1076467825.74609,229058.268567778
52,52,6,061,118,Rural,8.29075476,Placer,Colfax/Meadow Vista,28043,6,5.6,10.2,2749.3,4,2885,0.103,2,6,Yes,2020/01/30 00:00:00+00,859482366.652344,231860.236497669
53,53,21,061,119,Urban,2.84950784,Placer,Auburn/Newcastle/Lincoln/Sheridan,98699,98,23.9,115.9,851.6,0,8898,0.09,1,1,No,2020/01/30 00:00:00+00,1258158499.19922,225094.172639122
54,54,10,009,12,Rural,102.57833332,Calaveras,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,44516,17,5.6,21.2,2099.8,3,5676,0.128,2,5,Yes,2020/01/30 00:00:00+00,4356217613.66797,367168.346739729
55,55,1,061,120,Frontier,566.63693364,Placer,Foresthill,6534,1,0,1,6534,5,626,0.096,1,6,Yes,2020/01/30 00:00:00+00,2439307177.02734,321400.423275621
56,56,25,061,121.1,Urban,2.94016471,Placer,Roseville,112387,45,30.9,68.1,1650.3,2,10411,0.093,1,3,No,2020/01/30 00:00:00+00,139502579.984375,60106.8980778953
57,57,22,061,121.2,Urban,1.85493214,Placer,Rocklin/Granite Bay,115540,318,76.8,375.6,307.6,0,6439,0.056,1,1,No,2020/01/30 00:00:00+00,358363611.84375,113602.546738339
58,58,1,063,122,Frontier,706.4105232,Plumas,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,2679,1,0.3,1.2,2232.5,3,356,0.133,2,5,Yes,2020/01/30 00:00:00+00,3129929783.75,478437.02829584
59,59,2,063,123.1,Frontier,57.18581893,Plumas,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,6143,12.5,2,14,438.8,0,943,0.154,3,3,No,2020/01/30 00:00:00+00,2828234711.89453,377612.237928744
60,60,1,063,123.2,Rural,131.10137662,Plumas,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,1423,0,0,0,0,5,91,0.064,1,6,Yes,2020/01/30 00:00:00+00,575512695.839844,187122.194316949
