"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1602_C01_001E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households"
"S1602_C01_001M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households"
"S1602_C01_002E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish"
"S1602_C01_002M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish"
"S1602_C01_003E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages"
"S1602_C01_003M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages"
"S1602_C01_004E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages"
"S1602_C01_004M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages"
"S1602_C01_005E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages"
"S1602_C01_005M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages"
"S1602_C01_006E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status"
"S1602_C01_006M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status"
"S1602_C01_007E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)"
"S1602_C01_007M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)"
"S1602_C01_008E","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English"
"S1602_C01_008M","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English"
