"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0400000US06","California","10.3","0.1","25.3","0.2","17.7","0.3","28.9","0.3","17.8","0.8","2.8","(X)","2.8","(X)","3.4","(X)",
"0500000US06001","Alameda County, California","10.3","0.3","26.7","1.0","12.6","1.3","29.7","0.8","20.5","3.9","2.8","(X)","2.5","(X)","3.0","(X)",
"0500000US06003","Alpine County, California","1.1","1.1","0.0","62.5","0.0","100.0","50.0","50.0","14.3","20.6","5.3","(X)","17.4","(X)","18.9","(X)",
"0500000US06005","Amador County, California","0.8","0.6","11.6","12.0","9.1","10.6","14.9","19.4","0.0","79.6","1.5","(X)","1.6","(X)","4.1","(X)",
"0500000US06007","Butte County, California","2.9","0.3","19.9","2.8","6.3","3.3","35.1","7.7","21.2","13.2","2.9","(X)","2.6","(X)","3.4","(X)",
"0500000US06009","Calaveras County, California","1.0","0.5","12.7","8.1","6.8","7.7","0.0","31.2","45.2","48.0","2.6","(X)","3.3","(X)","3.7","(X)",
"0500000US06011","Colusa County, California","13.4","2.3","35.0","6.1","27.3","24.4","19.4","20.8","0.0","65.0","2.3","(X)","2.5","(X)","2.6","(X)",
"0500000US06013","Contra Costa County, California","6.8","0.3","24.3","1.4","14.7","1.7","20.8","1.9","10.3","4.3","2.7","(X)","2.8","(X)","3.4","(X)",
"0500000US06015","Del Norte County, California","1.3","0.8","11.4","8.8","2.1","3.2","17.0","18.7","0.0","21.4","11.6","(X)","32.2","(X)","32.7","(X)",
"0500000US06017","El Dorado County, California","1.9","0.3","19.8","4.0","4.6","2.6","17.2","8.5","4.5","6.9","2.2","(X)","2.0","(X)","2.8","(X)",
"0500000US06019","Fresno County, California","10.2","0.4","25.7","1.1","18.6","2.6","23.2","2.4","19.8","6.9","2.7","(X)","2.6","(X)","3.2","(X)",
"0500000US06021","Glenn County, California","8.2","1.8","27.2","6.0","22.2","18.3","29.3","36.8","19.4","39.0","4.0","(X)","2.7","(X)","3.5","(X)",
"0500000US06023","Humboldt County, California","1.5","0.3","17.8","4.4","9.4","4.4","20.8","10.9","0.3","1.1","2.6","(X)","3.2","(X)","4.1","(X)",
"0500000US06025","Imperial County, California","20.9","1.2","28.2","1.7","0.4","0.9","26.1","10.2","9.4","11.2","1.9","(X)","1.7","(X)","1.9","(X)",
"0500000US06027","Inyo County, California","3.1","1.3","24.5","11.5","17.0","18.9","40.6","45.1","7.8","13.4","3.3","(X)","1.5","(X)","2.4","(X)",
"0500000US06029","Kern County, California","9.7","0.4","25.4","1.2","14.0","3.0","20.5","3.2","13.8","5.8","2.4","(X)","2.2","(X)","2.6","(X)",
"0500000US06031","Kings County, California","12.3","1.1","30.1","2.8","12.6","4.5","13.7","5.5","51.8","29.4","3.7","(X)","3.3","(X)","4.1","(X)",
"0500000US06033","Lake County, California","2.4","0.8","22.9","8.8","9.1","7.8","0.0","10.5","16.5","28.8","3.2","(X)","3.4","(X)","4.7","(X)",
"0500000US06035","Lassen County, California","0.9","0.7","16.6","12.0","0.0","15.7","2.6","4.5","0.0","43.8","7.9","(X)","14.1","(X)","16.1","(X)",
"0500000US06037","Los Angeles County, California","15.1","0.1","27.1","0.3","25.0","0.6","33.3","0.5","19.1","1.4","2.7","(X)","2.6","(X)","3.1","(X)",
"0500000US06039","Madera County, California","10.2","1.1","26.4","2.8","15.2","8.7","20.3","15.6","6.0","7.4","2.9","(X)","2.8","(X)","3.1","(X)",
"0500000US06041","Marin County, California","4.8","0.5","30.7","3.7","10.0","2.5","16.0","3.8","5.3","5.8","4.7","(X)","5.2","(X)","6.2","(X)",
"0500000US06043","Mariposa County, California","1.7","1.0","25.5","13.6","0.0","30.5","0.0","36.9","0.0","45.5","2.8","(X)","3.9","(X)","2.8","(X)",
"0500000US06045","Mendocino County, California","4.1","0.7","27.1","4.6","0.9","1.4","11.5","9.8","0.0","24.7","3.3","(X)","3.9","(X)","5.0","(X)",
"0500000US06047","Merced County, California","13.8","0.9","28.2","1.8","21.1","4.2","18.4","5.2","3.7","5.9","2.2","(X)","2.2","(X)","2.5","(X)",
"0500000US06049","Modoc County, California","2.5","1.3","26.1","10.5","0.0","47.5","0.0","59.2","0.0","92.0","5.8","(X)","1.9","(X)","3.8","(X)",
"0500000US06051","Mono County, California","4.1","2.0","27.5","12.5","10.8","14.3","0.0","45.1","0.0","100.0","1.3","(X)","0.2","(X)","0.5","(X)",
"0500000US06053","Monterey County, California","14.8","0.6","34.1","1.5","14.6","3.1","27.1","3.8","20.3","10.1","2.7","(X)","2.6","(X)","3.0","(X)",
"0500000US06055","Napa County, California","7.4","0.8","29.6","3.4","8.3","3.6","10.4","5.0","16.1","14.0","2.6","(X)","2.7","(X)","3.4","(X)",
"0500000US06057","Nevada County, California","1.2","0.4","15.8","6.7","12.7","7.0","4.9","8.6","0.0","35.0","2.0","(X)","1.9","(X)","2.7","(X)",
"0500000US06059","Orange County, California","10.1","0.2","23.9","0.6","12.8","1.0","30.4","0.7","16.2","2.8","2.7","(X)","2.9","(X)","4.1","(X)",
"0500000US06061","Placer County, California","2.6","0.3","18.8","2.8","11.1","2.3","18.1","3.4","15.6","13.9","2.0","(X)","1.8","(X)","3.0","(X)",
"0500000US06063","Plumas County, California","0.6","0.5","8.6","8.6","0.0","19.8","24.1","47.7","0.0","60.2","2.0","(X)","3.8","(X)","4.4","(X)",
"0500000US06065","Riverside County, California","7.8","0.2","21.2","0.6","11.4","1.7","21.7","1.5","8.2","3.3","2.9","(X)","3.0","(X)","3.5","(X)",
"0500000US06067","Sacramento County, California","7.1","0.2","22.5","1.1","22.8","1.2","26.7","1.4","14.8","4.1","2.8","(X)","2.6","(X)","3.4","(X)",
"0500000US06069","San Benito County, California","11.1","1.7","25.9","4.4","10.4","8.6","46.3","18.9","95.6","12.7","2.2","(X)","1.9","(X)","2.3","(X)",
"0500000US06071","San Bernardino County, California","8.2","0.3","20.8","0.7","10.2","1.8","21.7","1.4","12.7","3.6","3.0","(X)","2.9","(X)","3.3","(X)",
"0500000US06073","San Diego County, California","8.0","0.2","23.5","0.6","13.5","1.1","23.4","1.1","25.0","2.6","3.0","(X)","2.7","(X)","3.4","(X)",
"0500000US06075","San Francisco County, California","13.5","0.4","22.8","1.8","22.3","1.7","40.3","1.3","13.3","4.4","3.7","(X)","4.2","(X)","5.0","(X)",
"0500000US06077","San Joaquin County, California","9.6","0.4","27.1","1.3","15.5","3.0","24.5","2.1","14.4","6.0","4.0","(X)","4.3","(X)","4.9","(X)",
"0500000US06079","San Luis Obispo County, California","2.9","0.4","18.1","2.7","5.8","2.9","23.2","6.1","0.0","11.0","2.8","(X)","3.0","(X)","4.4","(X)",
"0500000US06081","San Mateo County, California","9.7","0.4","26.5","1.4","13.3","1.4","22.3","1.3","13.1","4.3","2.7","(X)","3.1","(X)","3.7","(X)",
"0500000US06083","Santa Barbara County, California","8.2","0.5","25.9","1.7","7.6","2.2","23.2","3.4","9.6","6.6","2.6","(X)","2.5","(X)","3.1","(X)",
"0500000US06085","Santa Clara County, California","12.1","0.3","24.1","1.0","13.3","0.9","28.4","0.8","17.9","3.5","3.2","(X)","3.1","(X)","3.7","(X)",
"0500000US06087","Santa Cruz County, California","6.6","0.5","28.4","2.3","8.9","3.0","17.0","4.9","30.5","14.2","2.6","(X)","3.3","(X)","4.1","(X)",
"0500000US06089","Shasta County, California","1.2","0.3","9.5","3.3","10.6","6.4","17.7","7.8","11.3","10.7","3.3","(X)","2.6","(X)","5.6","(X)",
"0500000US06091","Sierra County, California","2.3","2.6","50.8","40.2","0.0","100.0","-","**","-","**","0.1","(X)","0.5","(X)","0.5","(X)",
"0500000US06093","Siskiyou County, California","2.1","0.5","17.8","6.6","15.6","7.8","28.4","12.8","5.5","5.9","3.0","(X)","3.2","(X)","4.6","(X)",
"0500000US06095","Solano County, California","5.7","0.4","25.4","2.4","8.0","2.5","13.8","1.6","13.5","7.3","3.3","(X)","2.9","(X)","3.5","(X)",
"0500000US06097","Sonoma County, California","4.9","0.3","26.4","2.0","9.5","2.2","21.4","3.9","14.7","6.9","3.2","(X)","4.1","(X)","5.3","(X)",
"0500000US06099","Stanislaus County, California","8.8","0.5","22.4","1.5","18.2","3.0","19.4","3.5","28.2","7.1","2.3","(X)","2.5","(X)","2.9","(X)",
"0500000US06101","Sutter County, California","10.5","1.2","33.5","4.5","32.7","6.4","20.2","8.4","23.5","32.1","3.7","(X)","4.0","(X)","4.7","(X)",
"0500000US06103","Tehama County, California","3.8","0.8","23.9","5.3","4.3","4.4","34.6","26.5","0.0","59.2","3.0","(X)","2.4","(X)","3.2","(X)",
"0500000US06105","Trinity County, California","0.0","0.1","0.0","13.4","0.0","32.2","2.6","6.1","0.0","77.3","1.2","(X)","0.4","(X)","1.2","(X)",
"0500000US06107","Tulare County, California","12.5","0.7","28.4","1.6","12.1","3.4","15.3","3.5","3.4","3.6","2.8","(X)","2.4","(X)","3.2","(X)",
"0500000US06109","Tuolumne County, California","0.6","0.3","11.1","5.5","2.0","3.3","8.2","9.5","0.0","50.4","2.9","(X)","8.5","(X)","12.0","(X)",
"0500000US06111","Ventura County, California","7.6","0.4","23.4","1.2","7.3","1.5","20.2","2.2","15.8","6.0","2.5","(X)","2.3","(X)","3.0","(X)",
"0500000US06113","Yolo County, California","9.5","0.8","30.4","2.8","24.7","3.7","21.5","3.8","19.0","12.5","2.3","(X)","2.5","(X)","3.2","(X)",
"0500000US06115","Yuba County, California","6.3","1.0","30.6","5.8","5.1","4.0","24.9","8.1","0.0","43.8","2.8","(X)","3.8","(X)","4.6","(X)",
