"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"0400000US06","California","13103114","18542","3390456","8884","780401","6143","1474105","6695","164884","3355","(X)","(X)","25.9","0.1","6.0","0.1","11.3","0.1","1.3","0.1","1134348","8570","617003","6926","118556","3107","370394","4208","28395","1379","8.7","0.1","18.2","0.2","15.2","0.4","25.1","0.3","17.2","0.7",
"0500000US06001","Alameda County, California","573174","1395","83505","1336","53824","2046","118292","1669","10276","752","(X)","(X)","14.6","0.2","9.4","0.4","20.6","0.3","1.8","0.1","46821","1678","12306","817","4471","630","28345","1228","1699","349","8.2","0.3","14.7","1.0","8.3","1.1","24.0","1.1","16.5","3.1",
"0500000US06003","Alpine County, California","397","79","41","39","0","13","2","6","15","10","(X)","(X)","10.3","8.7","0.0","9.6","0.5","1.5","3.8","2.5","4","6","1","4","0","13","1","3","2","3","1.0","1.4","2.4","9.6","-","**","50.0","50.0","13.3","18.6",
"0500000US06005","Amador County, California","14844","451","841","184","316","139","115","57","77","57","(X)","(X)","5.7","1.3","2.1","0.9","0.8","0.4","0.5","0.4","235","146","127","104","84","103","24","26","0","28","1.6","1.0","15.1","12.6","26.6","26.5","20.9","22.0","0.0","37.5",
"0500000US06007","Butte County, California","83879","885","9037","581","2102","296","2751","317","509","205","(X)","(X)","10.8","0.7","2.5","0.4","3.3","0.4","0.6","0.2","1899","299","848","217","250","132","738","193","63","56","2.3","0.4","9.4","2.3","11.9","6.1","26.8","6.1","12.4","11.2",
"0500000US06009","Calaveras County, California","16958","557","913","223","292","140","317","86","125","83","(X)","(X)","5.4","1.3","1.7","0.8","1.9","0.5","0.7","0.5","67","54","10","16","7","11","50","50","0","28","0.4","0.3","1.1","1.7","2.4","3.5","15.8","17.2","0.0","26.8",
"0500000US06011","Colusa County, California","7329","163","3166","219","65","43","17","16","6","11","(X)","(X)","43.2","2.7","0.9","0.6","0.2","0.2","0.1","0.1","706","177","696","177","4","6","6","11","0","25","9.6","2.4","22.0","5.4","6.2","10.3","35.3","44.9","0.0","100.0",
"0500000US06013","Contra Costa County, California","398299","1065","66613","1491","28864","1279","46853","1269","6160","696","(X)","(X)","16.7","0.4","7.2","0.3","11.8","0.3","1.5","0.2","22683","1122","9938","887","3199","415","8674","550","872","335","5.7","0.3","14.9","1.3","11.1","1.3","18.5","1.1","14.2","4.9",
"0500000US06015","Del Norte County, California","9805","313","822","161","239","91","189","51","92","54","(X)","(X)","8.4","1.7","2.4","0.9","1.9","0.5","0.9","0.5","92","61","32","34","53","51","7","14","0","25","0.9","0.6","3.9","4.2","22.2","18.5","3.7","6.9","0.0","33.6",
