"time","GEO_ID","NAME","CATEGORY_CODE","CATEGORY_CODE_LABEL","DATA_TYPE_CODE","DATA_TYPE_CODE_LABEL","SEASONALLY_ADJ","SEASONALLY_ADJ_LABEL","CELL_VALUE","ERROR_DATA",
"Year-Quarter","Geographic identifier code","Geographic Area Name","Category code","Meaning of Category code","Data type code","Meaning of Data type code","Seasonally adjusted code","Meaning of Seasonally adjusted code","Amount ($1,000,000)","Error data",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T01","Property Taxes","no","Not Seasonally Adjusted","523","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T09","General Sales and Gross Receipts Taxes","no","Not Seasonally Adjusted","5268","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T10","Alcoholic Beverages Sales Taxes","no","Not Seasonally Adjusted","64","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T11","Amusements Sales Taxes","no","Not Seasonally Adjusted","0","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T12","Insurance Premiums Sales Taxes","no","Not Seasonally Adjusted","8","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T13","Motor Fuels Sales Tax","no","Not Seasonally Adjusted","649","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T14","Pari-Mutuels Sales Taxes","no","Not Seasonally Adjusted","27","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T15","Public Utilities Sales Taxes","no","Not Seasonally Adjusted","10","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T16","Tobacco Products Sales Taxes","no","Not Seasonally Adjusted","144","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T19","Other Selective Sales and Gross Receipts Taxes","no","Not Seasonally Adjusted","8","no",
"1994-Q1","0400000US06","California","QTAXCAT3","State Tax Collections by State and Type of Tax","T20","Alcoholic Beverage License","no","Not Seasonally Adjusted","0","no",
