Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-12,Alameda,Fee-for-Service,Fee-for-Service,"6,223",,,P,09DEC2025
2025-12,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"388,213",,,P,09DEC2025
2025-12,Alameda,Managed Care,Center for Elders Independence/Alameda,937,,,P,09DEC2025
2025-12,Alameda,Managed Care,Kaiser Permanente/Alameda,"75,164",,,P,09DEC2025
2025-12,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,,2,Cell suppressed for complementary cell,P,09DEC2025
2025-12,Alameda,Managed Care,Out of County Plan,"7,770",,,P,09DEC2025
2025-12,Alameda,Managed Care,WelbeHealth Bay Area PACE/Alameda,,1,Cell suppressed for small numbers,P,09DEC2025
2025-12,Alpine,Fee-for-Service,Fee-for-Service,20,,,P,09DEC2025
2025-12,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,216,,,P,09DEC2025
2025-12,Alpine,Managed Care,Mountain Valley Health Plan/Alpine,35,,,P,09DEC2025
2025-12,Alpine,Managed Care,Out of County Plan,39,,,P,09DEC2025
2025-12,Amador,Fee-for-Service,Fee-for-Service,499,,,P,09DEC2025
2025-12,Amador,Managed Care,Anthem Blue Cross Partnership Plan/Amador,"6,318",,,P,09DEC2025
2025-12,Amador,Managed Care,"Health Net Community Solutions, Inc/Amador","1,810",,,P,09DEC2025
2025-12,Amador,Managed Care,Kaiser Permanente/Amador,362,,,P,09DEC2025
2025-12,Amador,Managed Care,Out of County Plan,171,,,P,09DEC2025
2025-12,Butte,Fee-for-Service,Fee-for-Service,825,,,P,09DEC2025
2025-12,Butte,Managed Care,Out of County Plan,"1,461",,,P,09DEC2025
2025-12,Butte,Managed Care,Partnership HealthPlan of California/Butte,"81,238",,,P,09DEC2025
2025-12,Calaveras,Fee-for-Service,Fee-for-Service,679,,,P,09DEC2025
2025-12,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"6,842",,,P,09DEC2025
2025-12,Calaveras,Managed Care,"Heath Net Community Solutions, Inc/Calaveras","5,742",,,P,09DEC2025
2025-12,Calaveras,Managed Care,Out of County Plan,239,,,P,09DEC2025
2025-12,Colusa,Fee-for-Service,Fee-for-Service,85,,,P,09DEC2025
2025-12,Colusa,Managed Care,Out of County Plan,306,,,P,09DEC2025
2025-12,Colusa,Managed Care,Partnership HealthPlan of California/Colusa,"9,762",,,P,09DEC2025
2025-12,Contra Costa,Fee-for-Service,Fee-for-Service,"3,746",,,P,09DEC2025
2025-12,Contra Costa,Managed Care,Center for Elders Independence/Contra Costa,396,,,P,09DEC2025
2025-12,Contra Costa,Managed Care,Contra Costa Health Plan/Contra Costa,"255,603",,,P,09DEC2025
2025-12,Contra Costa,Managed Care,Kaiser Permanente/Contra Costa,"60,118",,,P,09DEC2025
2025-12,Contra Costa,Managed Care,Out of County Plan,"5,124",,,P,09DEC2025
2025-12,Del Norte,Fee-for-Service,Fee-for-Service,139,,,P,09DEC2025
2025-12,Del Norte,Managed Care,Out of County Plan,185,,,P,09DEC2025
2025-12,Del Norte,Managed Care,Partnership Health Plan of California/Del Norte,"11,992",,,P,09DEC2025
2025-12,El Dorado,Fee-for-Service,Fee-for-Service,"1,822",,,P,09DEC2025
2025-12,El Dorado,Managed Care,Anthem Blue Cross Partnership Plan/El Dorado,"24,932",,,P,09DEC2025
2025-12,El Dorado,Managed Care,InnovAge PACE/El Dorado,13,,,P,09DEC2025
2025-12,El Dorado,Managed Care,Kaiser Permanente/El Dorado,"3,851",,,P,09DEC2025
2025-12,El Dorado,Managed Care,Mountain Valley Health Plan/El Dorado,"7,738",,,P,09DEC2025
2025-12,El Dorado,Managed Care,Out of County Plan,615,,,P,09DEC2025
2025-12,Fresno,Fee-for-Service,Fee-for-Service,"14,496",,,P,09DEC2025
2025-12,Fresno,Managed Care,Anthem Blue Cross Partnership Plan/Fresno,"144,486",,,P,09DEC2025
2025-12,Fresno,Managed Care,CalViva Health/Fresno,"334,387",,,P,09DEC2025
2025-12,Fresno,Managed Care,"Innovative Integrated Health, Inc/Fresno","1,258",,,P,09DEC2025
