Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-12,Alameda,Dual,"67,710",,,P,09DEC2025
2025-12,Alameda,Non-Dual,"411,037",,,P,09DEC2025
2025-12,Alpine,Dual,46,,,P,09DEC2025
2025-12,Alpine,Non-Dual,264,,,P,09DEC2025
2025-12,Amador,Dual,"1,613",,,P,09DEC2025
2025-12,Amador,Non-Dual,"7,547",,,P,09DEC2025
2025-12,Butte,Dual,"12,465",,,P,09DEC2025
2025-12,Butte,Non-Dual,"71,059",,,P,09DEC2025
2025-12,Calaveras,Dual,"2,163",,,P,09DEC2025
2025-12,Calaveras,Non-Dual,"11,339",,,P,09DEC2025
2025-12,Colusa,Dual,"1,358",,,P,09DEC2025
2025-12,Colusa,Non-Dual,"8,795",,,P,09DEC2025
2025-12,Contra Costa,Dual,"39,126",,,P,09DEC2025
2025-12,Contra Costa,Non-Dual,"285,861",,,P,09DEC2025
2025-12,Del Norte,Dual,"2,044",,,P,09DEC2025
2025-12,Del Norte,Non-Dual,"10,272",,,P,09DEC2025
2025-12,El Dorado,Dual,"5,792",,,P,09DEC2025
2025-12,El Dorado,Non-Dual,"33,179",,,P,09DEC2025
2025-12,Fresno,Dual,"49,866",,,P,09DEC2025
2025-12,Fresno,Non-Dual,"460,516",,,P,09DEC2025
2025-12,Glenn,Dual,"1,806",,,P,09DEC2025
2025-12,Glenn,Non-Dual,"11,543",,,P,09DEC2025
2025-12,Humboldt,Dual,"8,066",,,P,09DEC2025
2025-12,Humboldt,Non-Dual,"48,398",,,P,09DEC2025
2025-12,Imperial,Dual,"17,237",,,P,09DEC2025
2025-12,Imperial,Non-Dual,"80,694",,,P,09DEC2025
2025-12,Inyo,Dual,845,,,P,09DEC2025
2025-12,Inyo,Non-Dual,"4,295",,,P,09DEC2025
2025-12,Kern,Dual,"43,620",,,P,09DEC2025
2025-12,Kern,Non-Dual,"439,230",,,P,09DEC2025
2025-12,Kings,Dual,"6,400",,,P,09DEC2025
2025-12,Kings,Non-Dual,"59,944",,,P,09DEC2025
2025-12,Lake,Dual,"5,817",,,P,09DEC2025
2025-12,Lake,Non-Dual,"27,601",,,P,09DEC2025
2025-12,Lassen,Dual,"1,268",,,P,09DEC2025
2025-12,Lassen,Non-Dual,"7,287",,,P,09DEC2025
2025-12,Los Angeles,Dual,"539,897",,,P,09DEC2025
2025-12,Los Angeles,Non-Dual,"3,371,779",,,P,09DEC2025
2025-12,Madera,Dual,"7,110",,,P,09DEC2025
2025-12,Madera,Non-Dual,"74,264",,,P,09DEC2025
2025-12,Marin,Dual,"6,278",,,P,09DEC2025
2025-12,Marin,Non-Dual,"47,391",,,P,09DEC2025
2025-12,Mariposa,Dual,906,,,P,09DEC2025
2025-12,Mariposa,Non-Dual,"4,692",,,P,09DEC2025
2025-12,Mendocino,Dual,"5,834",,,P,09DEC2025
2025-12,Mendocino,Non-Dual,"34,759",,,P,09DEC2025
2025-12,Merced,Dual,"14,247",,,P,09DEC2025
2025-12,Merced,Non-Dual,"131,531",,,P,09DEC2025
2025-12,Modoc,Dual,710,,,P,09DEC2025
2025-12,Modoc,Non-Dual,"2,801",,,P,09DEC2025
2025-12,Mono,Dual,251,,,P,09DEC2025
2025-12,Mono,Non-Dual,"3,241",,,P,09DEC2025
2025-12,Monterey,Dual,"16,493",,,P,09DEC2025
2025-12,Monterey,Non-Dual,"168,861",,,P,09DEC2025
2025-12,Napa,Dual,"4,961",,,P,09DEC2025
2025-12,Napa,Non-Dual,"30,750",,,P,09DEC2025
2025-12,Nevada,Dual,"4,258",,,P,09DEC2025
2025-12,Nevada,Non-Dual,"24,582",,,P,09DEC2025
2025-12,Orange,Dual,"128,621",,,P,09DEC2025
2025-12,Orange,Non-Dual,"799,322",,,P,09DEC2025
2025-12,Placer,Dual,"10,165",,,P,09DEC2025
2025-12,Placer,Non-Dual,"68,766",,,P,09DEC2025
2025-12,Plumas,Dual,"1,041",,,P,09DEC2025
2025-12,Plumas,Non-Dual,"4,447",,,P,09DEC2025
2025-12,Riverside,Dual,"103,554",,,P,09DEC2025
2025-12,Riverside,Non-Dual,"871,647",,,P,09DEC2025
2025-12,STATEWIDE,STATEWIDE,"14,021,740",,Statewide Total by MOE,P,09DEC2025
2025-12,Sacramento,Dual,"75,138",,,P,09DEC2025
2025-12,Sacramento,Non-Dual,"542,963",,,P,09DEC2025
2025-12,San Benito,Dual,"2,031",,,P,09DEC2025
2025-12,San Benito,Non-Dual,"18,697",,,P,09DEC2025
2025-12,San Bernardino,Dual,"97,814",,,P,09DEC2025
2025-12,San Bernardino,Non-Dual,"832,580",,,P,09DEC2025
2025-12,San Diego,Dual,"123,533",,,P,09DEC2025
2025-12,San Diego,Non-Dual,"789,677",,,P,09DEC2025
2025-12,San Francisco,Dual,"55,178",,,P,09DEC2025
2025-12,San Francisco,Non-Dual,"191,479",,,P,09DEC2025
2025-12,San Joaquin,Dual,"33,737",,,P,09DEC2025
2025-12,San Joaquin,Non-Dual,"275,779",,,P,09DEC2025
2025-12,San Luis Obispo,Dual,"8,162",,,P,09DEC2025
2025-12,San Luis Obispo,Non-Dual,"56,577",,,P,09DEC2025
2025-12,San Mateo,Dual,"21,298",,,P,09DEC2025
2025-12,San Mateo,Non-Dual,"140,142",,,P,09DEC2025
2025-12,Santa Barbara,Dual,"16,237",,,P,09DEC2025
2025-12,Santa Barbara,Non-Dual,"156,801",,,P,09DEC2025
2025-12,Santa Clara,Dual,"68,587",,,P,09DEC2025
2025-12,Santa Clara,Non-Dual,"374,778",,,P,09DEC2025
2025-12,Santa Cruz,Dual,"10,454",,,P,09DEC2025
2025-12,Santa Cruz,Non-Dual,"66,354",,,P,09DEC2025
2025-12,Shasta,Dual,"11,360",,,P,09DEC2025
2025-12,Shasta,Non-Dual,"53,935",,,P,09DEC2025
2025-12,Sierra,Dual,198,,,P,09DEC2025
2025-12,Sierra,Non-Dual,555,,,P,09DEC2025
2025-12,Siskiyou,Dual,"3,371",,,P,09DEC2025
2025-12,Siskiyou,Non-Dual,"15,054",,,P,09DEC2025
2025-12,Solano,Dual,"16,990",,,P,09DEC2025
2025-12,Solano,Non-Dual,"124,956",,,P,09DEC2025
2025-12,Sonoma,Dual,"16,733",,,P,09DEC2025
2025-12,Sonoma,Non-Dual,"118,812",,,P,09DEC2025
2025-12,Stanislaus,Dual,"26,312",,,P,09DEC2025
2025-12,Stanislaus,Non-Dual,"221,289",,,P,09DEC2025
2025-12,Sutter,Dual,"5,651",,,P,09DEC2025
2025-12,Sutter,Non-Dual,"39,272",,,P,09DEC2025
2025-12,Tehama,Dual,"4,237",,,P,09DEC2025
2025-12,Tehama,Non-Dual,"25,101",,,P,09DEC2025
2025-12,Trinity,Dual,986,,,P,09DEC2025
