NAME,DP05_0001E,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0071PE,state,county
"Alameda County, California",1651949,14.9,32,9.9,2.1,6,1
"Alpine County, California",1695,21.8,63.5,0,28.1,6,3
"Amador County, California",41029,27.2,77.8,2,5,6,5
"Butte County, California",209470,18.2,72.6,1.8,4.3,6,7
"Calaveras County, California",45995,28.7,80.8,1.2,3.8,6,9
"Colusa County, California",21895,15.3,51.2,1.4,3.2,6,11
"Contra Costa County, California",1161458,16.7,43.5,8.5,2.6,6,13
"Del Norte County, California",27293,19.8,67.1,2.9,10.3,6,15
"El Dorado County, California",192299,22.8,79.9,0.9,2.5,6,17
"Fresno County, California",1012152,12.7,41.8,4.4,3.1,6,19
"Glenn County, California",28623,16.8,59.8,0.6,3.8,6,21
"Humboldt County, California",135418,19.3,73.6,1.3,8.6,6,23
"Imperial County, California",179319,13.5,30.4,2.5,2.7,6,25
"Inyo County, California",18803,24.4,64.6,1,15.1,6,27
"Kern County, California",910433,11.6,49.2,5.2,2.9,6,29
"Kings County, California",152830,10.6,46,6.4,3.1,6,31
"Lake County, California",68139,23.6,69.2,2.2,6.6,6,33
"Lassen County, California",31177,16,68.9,8.3,5.1,6,35
"Los Angeles County, California",9848406,14.7,35.4,7.8,2.7,6,37
"Madera County, California",158790,14.4,44.1,2.6,5,6,39
"Marin County, California",258765,23.3,70.4,2.3,1.9,6,41
"Mariposa County, California",17060,29.4,79.7,1.3,6.2,6,43
"Mendocino County, California",90709,24.1,68.3,0.9,6.8,6,45
"Merced County, California",285597,11.6,36,2.9,3,6,47
"Modoc County, California",8646,31,80.7,0.8,6.3,6,49
"Mono County, California",13169,16.4,74.1,0.1,6.8,6,51
"Monterey County, California",435834,14.5,36.5,2.2,2.5,6,53
"Napa County, California",136070,20.6,60.1,1.9,2.5,6,55
"Nevada County, California",102452,28.9,85.7,0.3,2.6,6,57
"Orange County, California",3164063,15.8,46.4,1.6,2,6,59
"Placer County, California",412435,20.2,72.5,1.7,2.4,6,61
"Plumas County, California",19607,29.8,87.1,1.4,4.9,6,63
"Riverside County, California",2449909,15.1,42.2,6.5,3.1,6,65
"Sacramento County, California",1584047,14.9,47.2,9.5,3.1,6,67
"San Benito County, California",66056,13.5,45.1,1,4.5,6,69
"San Bernardino County, California",2187816,12.3,39.1,8,3,6,71
"San Diego County, California",3282782,15,53,4.7,2.5,6,73
"San Francisco County, California",836321,17.2,40.5,5.1,1.8,6,75
"San Joaquin County, California",787416,13.3,37.1,7,6.1,6,77
"San Luis Obispo County, California",281486,21.6,72.4,1.1,2.6,6,79
"San Mateo County, California",745100,17.3,40.7,2.2,2.2,6,81
"Santa Barbara County, California",443975,16.2,54.3,1.7,3.6,6,83
"Santa Clara County, California",1903297,14.4,33.2,2.4,1.9,6,85
"Santa Cruz County, California",266021,18.3,62.8,1,3,6,87
"Shasta County, California",181554,21.2,80.2,0.9,5.1,6,89
"Sierra County, California",2731,34.5,90.4,0.3,2.6,6,91
"Siskiyou County, California",43834,27.2,79.4,1.7,7.6,6,93
"Solano County, California",450824,16.9,42.7,12.9,2.8,6,95
"Sonoma County, California",485642,21,64.5,1.6,3.7,6,97
"Stanislaus County, California",552250,13.6,50.1,2.8,3.3,6,99
"Sutter County, California",98971,16.1,50.3,1.7,4.3,6,101
"Tehama County, California",65520,20,69.3,0.9,5,6,103
"Trinity County, California",15886,29.3,80.5,0.9,5.6,6,105
"Tulare County, California",475774,11.7,42.6,1.5,3.3,6,107
"Tuolumne County, California",54873,27.7,82.6,1.7,4.4,6,109
"Ventura County, California",838259,16.9,58.6,1.8,3.3,6,111
"Yolo County, California",217782,13.3,54.8,2.7,2.8,6,113
"Yuba County, California",83079,13.1,60.5,3.7,5.7,6,115
