Patient County,Service year,Disposition,Encounters,AnnotationCode,AnnotationDesc
Alameda,2008,Acute Care,5073,,
Alameda,2008,Childrens_or_Cancer,337,,
Alameda,2008,Critical Access Hospital,80,,
Alameda,2008,Died,660,,
Alameda,2008,Home Health Service,115,,
Alameda,2008,Hospice_Care,37,,
Alameda,2008,Invalid or Blank,194,,
Alameda,2008,Left Against Medical Advice,5109,,
Alameda,2008,Not_Defined_Elsewhere,718,,
Alameda,2008,Other,526,,
Alameda,2008,Psychiatric_Care,4052,,
Alameda,2008,Rehab,92,,
Alameda,2008,Residential Care facility,102,,
Alameda,2008,Routine (Home),374292,,
Alameda,2008,Skilled Nursing/Intermediate Care (SN/IC),1775,,
Alpine,2008,Childrens_or_Cancer,3,,
Alpine,2008,Left Against Medical Advice,1,,
Alpine,2008,Routine (Home),56,,
Amador,2008,Acute Care,423,,
Amador,2008,Childrens_or_Cancer,2,,
Amador,2008,Died,25,,
Amador,2008,Hospice_Care,2,,
Amador,2008,Invalid or Blank,1,,
Amador,2008,Left Against Medical Advice,99,,
Amador,2008,Not_Defined_Elsewhere,11,,
Amador,2008,Other,4,,
Amador,2008,Psychiatric_Care,47,,
Amador,2008,Residential Care facility,1,,
Amador,2008,Routine (Home),13128,,
Amador,2008,Skilled Nursing/Intermediate Care (SN/IC),16,,
Butte,2008,Acute Care,521,,
Butte,2008,Childrens_or_Cancer,124,,
Butte,2008,Critical Access Hospital,2,,
Butte,2008,Died,134,,
Butte,2008,Home Health Service,29,,
Butte,2008,Hospice_Care,1,,
Butte,2008,Left Against Medical Advice,834,,
Butte,2008,Not_Defined_Elsewhere,63,,
Butte,2008,Other,24,,
Butte,2008,Psychiatric_Care,509,,
Butte,2008,Rehab,14,,
Butte,2008,Residential Care facility,42,,
Butte,2008,Routine (Home),57873,,
Butte,2008,Skilled Nursing/Intermediate Care (SN/IC),286,,
Calaveras,2008,Acute Care,305,,
Calaveras,2008,Childrens_or_Cancer,5,,
Calaveras,2008,Critical Access Hospital,2,,
Calaveras,2008,Died,34,,
Calaveras,2008,Home Health Service,19,,
Calaveras,2008,Hospice_Care,2,,
Calaveras,2008,Invalid or Blank,2,,
Calaveras,2008,Left Against Medical Advice,214,,
Calaveras,2008,Not_Defined_Elsewhere,3,,
Calaveras,2008,Other,6,,
Calaveras,2008,Psychiatric_Care,95,,
Calaveras,2008,Rehab,3,,
Calaveras,2008,Residential Care facility,6,,
Calaveras,2008,Routine (Home),12499,,
Calaveras,2008,Skilled Nursing/Intermediate Care (SN/IC),12,,
Colusa,2008,Acute Care,204,,
Colusa,2008,Childrens_or_Cancer,1,,
Colusa,2008,Died,8,,
Colusa,2008,Home Health Service,3,,
Colusa,2008,Hospice_Care,1,,
Colusa,2008,Left Against Medical Advice,46,,
