County,Region,PQIDescription,YearsToRetirement,CtyRetirePercent,RegionRetirePercent,StRetirePercent
Alameda,Greater Bay Area,Asthma in Younger Adults (Age 18-39),0-2 years,0.041,0.041,0.041
Alameda,Greater Bay Area,Asthma in Younger Adults (Age 18-39),3-5 years,0.147,0.138,0.141
Alameda,Greater Bay Area,Asthma in Younger Adults (Age 18-39),6-10 years,0.171,0.169,0.175
Alameda,Greater Bay Area,Asthma in Younger Adults (Age 18-39),11+ years,0.64,0.652,0.642
Alameda,Greater Bay Area,Community-Acquired Pneumonia,0-2 years,0.043,0.042,0.043
Alameda,Greater Bay Area,Community-Acquired Pneumonia,3-5 years,0.151,0.137,0.141
Alameda,Greater Bay Area,Community-Acquired Pneumonia,6-10 years,0.174,0.168,0.178
Alameda,Greater Bay Area,Community-Acquired Pneumonia,11+ years,0.632,0.653,0.638
Alameda,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.044,0.041,0.041
Alameda,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.15,0.138,0.141
Alameda,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.173,0.17,0.175
Alameda,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),11+ years,0.634,0.652,0.642
Alameda,Greater Bay Area,Diabetes Composite,0-2 years,0.04,0.041,0.041
Alameda,Greater Bay Area,Diabetes Composite,3-5 years,0.147,0.138,0.138
Alameda,Greater Bay Area,Diabetes Composite,6-10 years,0.181,0.166,0.173
Alameda,Greater Bay Area,Diabetes Composite,11+ years,0.632,0.655,0.647
Alameda,Greater Bay Area,Heart Failure,0-2 years,0.042,0.04,0.039
Alameda,Greater Bay Area,Heart Failure,3-5 years,0.137,0.132,0.135
Alameda,Greater Bay Area,Heart Failure,6-10 years,0.17,0.173,0.174
Alameda,Greater Bay Area,Heart Failure,11+ years,0.652,0.655,0.653
Alameda,Greater Bay Area,Hypertension,0-2 years,0.044,0.04,0.039
Alameda,Greater Bay Area,Hypertension,3-5 years,0.133,0.134,0.135
Alameda,Greater Bay Area,Hypertension,6-10 years,0.173,0.174,0.174
Alameda,Greater Bay Area,Hypertension,11+ years,0.651,0.653,0.653
Alameda,Greater Bay Area,Urinary Tract Infection,0-2 years,0.039,0.046,0.044
Alameda,Greater Bay Area,Urinary Tract Infection,3-5 years,0.136,0.139,0.144
Alameda,Greater Bay Area,Urinary Tract Infection,6-10 years,0.182,0.178,0.18
Alameda,Greater Bay Area,Urinary Tract Infection,11+ years,0.643,0.636,0.632
Amador,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.148,0.088,0.041
Amador,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.117,0.227,0.141
Amador,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0,0.2,0.175
Amador,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.735,0.483,0.642
Amador,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.156,0.086,0.043
Amador,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.123,0.225,0.141
Amador,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0,0.2,0.178
Amador,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.721,0.487,0.638
Amador,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.148,0.087,0.041
Amador,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.117,0.231,0.141
Amador,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0,0.199,0.175
Amador,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.735,0.481,0.642
Amador,Northern and Sierra,Diabetes Composite,0-2 years,0.217,0.084,0.041
Amador,Northern and Sierra,Diabetes Composite,3-5 years,0.106,0.233,0.138
Amador,Northern and Sierra,Diabetes Composite,6-10 years,0,0.201,0.173
Amador,Northern and Sierra,Diabetes Composite,11+ years,0.677,0.481,0.647
Amador,Northern and Sierra,Heart Failure,0-2 years,0.192,0.077,0.039
Amador,Northern and Sierra,Heart Failure,3-5 years,0.167,0.227,0.135
Amador,Northern and Sierra,Heart Failure,6-10 years,0,0.192,0.174
Amador,Northern and Sierra,Heart Failure,11+ years,0.64,0.504,0.653
Amador,Northern and Sierra,Hypertension,0-2 years,0.192,0.076,0.039
Amador,Northern and Sierra,Hypertension,3-5 years,0.167,0.226,0.135
Amador,Northern and Sierra,Hypertension,6-10 years,0,0.19,0.174
Amador,Northern and Sierra,Hypertension,11+ years,0.64,0.507,0.653
Amador,Northern and Sierra,Urinary Tract Infection,0-2 years,0.143,0.096,0.044
Amador,Northern and Sierra,Urinary Tract Infection,3-5 years,0.199,0.225,0.144
Amador,Northern and Sierra,Urinary Tract Infection,6-10 years,0,0.189,0.18
Amador,Northern and Sierra,Urinary Tract Infection,11+ years,0.658,0.488,0.632
Butte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.08,0.088,0.041
Butte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.226,0.227,0.141
Butte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.147,0.2,0.175
Butte,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.546,0.483,0.642
Butte,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.089,0.086,0.043
Butte,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.232,0.225,0.141
Butte,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.13,0.2,0.178
Butte,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.549,0.487,0.638
Butte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.08,0.087,0.041
Butte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.226,0.231,0.141
Butte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.147,0.199,0.175
Butte,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.546,0.481,0.642
Butte,Northern and Sierra,Diabetes Composite,0-2 years,0.075,0.084,0.041
Butte,Northern and Sierra,Diabetes Composite,3-5 years,0.212,0.233,0.138
Butte,Northern and Sierra,Diabetes Composite,6-10 years,0.168,0.201,0.173
Butte,Northern and Sierra,Diabetes Composite,11+ years,0.545,0.481,0.647
Butte,Northern and Sierra,Heart Failure,0-2 years,0.067,0.077,0.039
Butte,Northern and Sierra,Heart Failure,3-5 years,0.259,0.227,0.135
Butte,Northern and Sierra,Heart Failure,6-10 years,0.138,0.192,0.174
Butte,Northern and Sierra,Heart Failure,11+ years,0.537,0.504,0.653
Butte,Northern and Sierra,Hypertension,0-2 years,0.065,0.076,0.039
Butte,Northern and Sierra,Hypertension,3-5 years,0.249,0.226,0.135
Butte,Northern and Sierra,Hypertension,6-10 years,0.142,0.19,0.174
Butte,Northern and Sierra,Hypertension,11+ years,0.544,0.507,0.653
Butte,Northern and Sierra,Urinary Tract Infection,0-2 years,0.128,0.096,0.044
Butte,Northern and Sierra,Urinary Tract Infection,3-5 years,0.202,0.225,0.144
Butte,Northern and Sierra,Urinary Tract Infection,6-10 years,0.124,0.189,0.18
Butte,Northern and Sierra,Urinary Tract Infection,11+ years,0.546,0.488,0.632
Calaveras,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Calaveras,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.252,0.227,0.141
Calaveras,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.527,0.2,0.175
Calaveras,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.221,0.483,0.642
Calaveras,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Calaveras,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.271,0.225,0.141
Calaveras,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.566,0.2,0.178
Calaveras,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.163,0.487,0.638
Calaveras,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Calaveras,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.252,0.231,0.141
