Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2005,Alameda,1,Diabetes Short-term Complications,538,"1,102,068",48.8,47.3,,,,,,
2006,Alameda,1,Diabetes Short-term Complications,479,"1,106,823",43.3,42,,,,,,
2007,Alameda,1,Diabetes Short-term Complications,475,"1,117,973",42.5,41.3,,,,,,
2008,Alameda,1,Diabetes Short-term Complications,531,"1,136,417",46.7,45.5,,,,,,
2009,Alameda,1,Diabetes Short-term Complications,586,"1,155,287",50.7,49.4,,,,,,
2010,Alameda,1,Diabetes Short-term Complications,614,"1,169,910",52.5,51.3,,,,,,
2011,Alameda,1,Diabetes Short-term Complications,607,"1,186,810",51.1,50.1,,,,,,
2012,Alameda,1,Diabetes Short-term Complications,598,"1,173,980",50.9,50.9,,,,,,
2013,Alameda,1,Diabetes Short-term Complications,612,"1,197,759",51.1,51.2,,,,,,
2014,Alameda,1,Diabetes Short-term Complications,601,"1,192,027",50.4,50.2,,,,,,
2015,Alameda,1,Diabetes Short-term Complications,454,"923,607",49.2,49.9,,,,,,
2016,Alameda,1,Diabetes Short-term Complications,,,,,716,"1,304,840",54.9,64.5,,
2017,Alameda,1,Diabetes Short-term Complications,,,,,618,"1,314,687",47,55.3,,
2018,Alameda,1,Diabetes Short-term Complications,,,,,651,"1,323,933",49.2,58,,
2019,Alameda,1,Diabetes Short-term Complications,,,,,637,"1,329,186",47.9,56.7,,
2020,Alameda,1,Diabetes Short-term Complications,,,,,634,"1,344,023",47.2,55.7,,
2021,Alameda,1,Diabetes Short-term Complications,,,,,657,"1,317,990",49.8,59.2,,
2022,Alameda,1,Diabetes Short-term Complications,,,,,654,"1,311,253",49.9,59.3,,
2023,Alameda,1,Diabetes Short-term Complications,,,,,745,"1,306,255",57,72,,
2024,Alameda,1,Diabetes Short-term Complications,,,,,787,"1,332,423",59.1,69.1,,
2005,Alpine,1,Diabetes Short-term Complications,0,979,0,0,,,,,,
2006,Alpine,1,Diabetes Short-term Complications,0,"1,001",0,0,,,,,,
2007,Alpine,1,Diabetes Short-term Complications,0,"1,009",0,0,,,,,,
2008,Alpine,1,Diabetes Short-term Complications,0,957,0,0,,,,,,
2009,Alpine,1,Diabetes Short-term Complications,0,947,0,0,,,,,,
2010,Alpine,1,Diabetes Short-term Complications,0,895,0,0,,,,,,
2011,Alpine,1,Diabetes Short-term Complications,0,888,0,0,,,,,,
2012,Alpine,1,Diabetes Short-term Complications,0,"2,975",0,0,,,,,,
2013,Alpine,1,Diabetes Short-term Complications,0,"2,967",0,0,,,,,,
2014,Alpine,1,Diabetes Short-term Complications,0,"2,018",0,0,,,,,,
2015,Alpine,1,Diabetes Short-term Complications,0,"3,000",0,0,,,,,,
2016,Alpine,1,Diabetes Short-term Complications,,,,,0,860,0,0,,
2017,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0,0,,
2018,Alpine,1,Diabetes Short-term Complications,,,,,0,886,0,0,,
2019,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0,0,,
2020,Alpine,1,Diabetes Short-term Complications,,,,,0,981,0,0,,
2021,Alpine,1,Diabetes Short-term Complications,,,,,1,"1,019",98.1,83.4,,
2022,Alpine,1,Diabetes Short-term Complications,,,,,0,998,0,0,,
2023,Alpine,1,Diabetes Short-term Complications,,,,,0,955,0,0,,
2024,Alpine,1,Diabetes Short-term Complications,,,,,0,928,0,0,,
2005,Amador,1,Diabetes Short-term Complications,12,"31,101",38.6,40.3,,,,,,
2006,Amador,1,Diabetes Short-term Complications,9,"31,460",28.6,30,,,,,,
2007,Amador,1,Diabetes Short-term Complications,13,"31,883",40.8,42.9,,,,,,
2008,Amador,1,Diabetes Short-term Complications,12,"31,619",38,40.2,,,,,,
2009,Amador,1,Diabetes Short-term Complications,5,"31,769",15.7,16.7,,,,,,
2010,Amador,1,Diabetes Short-term Complications,10,"31,720",31.5,33.7,,,,,,
2011,Amador,1,Diabetes Short-term Complications,9,"31,760",28.3,30.4,,,,,,
2012,Amador,1,Diabetes Short-term Complications,13,"32,614",39.9,41.9,,,,,,
2013,Amador,1,Diabetes Short-term Complications,21,"32,252",65.1,68.9,,,,,,
2014,Amador,1,Diabetes Short-term Complications,24,"33,225",72.2,77,,,,,,
2015,Amador,1,Diabetes Short-term Complications,11,"24,635",44.7,47.1,,,,,,
2016,Amador,1,Diabetes Short-term Complications,,,,,17,"31,586",53.8,64.4,,
2017,Amador,1,Diabetes Short-term Complications,,,,,15,"32,677",45.9,54.8,,
2018,Amador,1,Diabetes Short-term Complications,,,,,25,"33,425",74.8,89.2,,
2019,Amador,1,Diabetes Short-term Complications,,,,,26,"33,684",77.2,92.4,,
2020,Amador,1,Diabetes Short-term Complications,,,,,18,"34,367",52.4,62.7,,
2021,Amador,1,Diabetes Short-term Complications,,,,,26,"34,879",74.5,89.3,,
2022,Amador,1,Diabetes Short-term Complications,,,,,31,"35,068",88.4,106.1,,
2023,Amador,1,Diabetes Short-term Complications,,,,,44,"35,299",124.6,143.6,,
